year,Buenos_Aires,Santa.Fe,Cordoba,Entre_Rios,Argentina
1966_67,28.520317,31.3901852,30.41172121,30.34609193,30.16707884
1967_68,30.09867368,33.98952956,32.51909367,33.01647953,32.40594411
1969,29.24437213,31.80323645,31.37561539,30.32581308,30.68725926
1970,29.37814498,32.40495188,31.57558353,31.74663,31.2763276
1971,28.08893096,30.96094782,29.94290836,29.52312451,29.62897791
1972,30.43483782,34.15394173,33.76355496,32.30219382,32.66363208
1973,28.50178708,30.97171287,30.30609794,29.71072156,29.87257986
1974,27.55326486,30.12078111,29.61164201,29.36422256,29.16247764
1975,28.60450389,31.01586423,29.82449696,30.53897903,29.99596103
1976,29.64865612,32.26100165,32.04184246,31.66643026,31.40448262
1977,27.58656302,30.36323313,29.60394571,29.38421039,29.23448806
1978,27.81458819,30.33904226,28.97874865,29.47750989,29.15247225
1979,29.5060385,31.72616313,29.95026469,31.34980225,30.63306714
1980,29.39019529,32.05258234,30.89573851,31.29204369,30.90763996
1981,29.06840542,30.44789771,29.47254205,30.02028867,29.75228346
1982,29.20242751,30.62564623,29.75054589,30.70340309,30.07050568
1983,30.15470122,31.39276409,29.82732794,31.10953295,30.62108155
1984,29.30381578,31.96150462,31.24777403,31.09869911,30.90294839
1985,27.90072952,30.51204565,28.80084944,30.79097754,29.50115054
1986,28.79595025,32.47767124,30.72361717,31.7952136,30.94811307
1987,29.72283564,31.70161801,31.22202191,31.89952676,31.13650058
1988,28.11719228,30.54566365,29.21488615,29.85486613,29.43315205
1989,30.8506226,34.2776579,33.24273799,33.82921994,33.05005961
1990,29.17327513,31.39786756,30.6726673,30.97436102,30.55454275
1991,28.24189511,30.18723698,29.43407088,29.51078987,29.34349821
1992,28.11112919,30.64688303,29.34347468,30.38684563,29.62208313
1993,28.23821428,30.41882599,29.59686254,29.85916903,29.52826796
1994,28.27983242,30.45605571,29.69180987,29.92555437,29.58831309
1995,28.65673095,30.88523944,30.18572438,30.77642337,30.12602954
1996,29.33269055,31.01963354,30.67585496,31.44382009,30.61799979
1997,28.50352306,31.24737313,30.11734578,30.77595419,30.16104904
1998,26.42930595,29.16791397,27.77540411,28.38431153,27.93923389
1999,28.62993175,30.61653879,30.05522162,30.27057537,29.89306688
2000,29.75437688,31.35377464,29.06160382,31.76570064,30.483864
2001,29.90459817,31.30625191,30.74706906,30.82784243,30.69644039
2002,28.80076444,30.82445317,29.70570974,30.07986298,29.85269758
2003,29.02189522,30.66544188,29.7948529,29.96460175,29.86169794
2004,28.49131234,30.78504857,29.98405428,30.17488955,29.85882619
2005,28.42803325,31.14737952,29.68316951,30.64009928,29.97467039
2006,27.95289927,31.80197645,30.34722843,31.12756123,30.30741635
2007,29.06216302,31.33049845,29.61948296,30.41391344,30.10651447
2008,29.00431872,31.63623832,30.16693197,30.92794169,30.43385768
2009,30.44862454,32.16232647,30.22973487,31.69766674,31.13458816
2010,28.07632564,30.72788606,29.68499345,29.55966292,29.51221702
2011,29.43590661,31.38594185,30.4803858,31.55990901,30.71553582
2011_12,29.79283803,33.04195688,31.85407702,31.74037952,31.60731286
