year,Buenos.Aires,Cordoba,Entre.Rios,Santa.Fe
1966_67,442.7401568,479.9342243,527.0104544,518.6286507
1967_68,327.3782555,387.2497746,340.0373936,371.9709172
1969,472.7631281,455.0938612,604.3990293,639.525928
1970,468.8717494,517.0193708,603.3538494,605.4545226
1971,434.8802413,480.7847328,658.5696858,619.4163466
1972,272.8248833,355.8870614,467.4167696,411.0407081
1973,522.0341572,696.3648852,721.927532,831.7300063
1974,404.2429895,464.4049467,473.4492443,582.1523764
1975,496.6225287,554.2789295,511.3538492,593.3847067
1976,401.6154227,443.5572499,601.8980199,577.9982328
1977,590.9307847,680.2112582,766.0799298,804.5561345
1978,534.9743167,743.151509,878.8656496,751.7973772
1979,337.9969721,595.3637883,465.7337479,624.8488776
1980,413.4616329,511.3130455,584.605715,502.0737538
1981,446.2504154,650.4815969,617.4399301,711.5795593
1982,418.9159328,520.9479815,492.4868893,492.4244013
1983,359.6890302,527.4375796,557.5005063,628.4086706
1984,527.535941,664.63008,764.5893317,751.895887
1985,349.1174279,488.1954671,440.108944,569.3808519
1986,518.8495349,468.0505078,434.0835618,481.3249365
1987,514.181426,589.873873,691.2008394,711.0467291
1988,522.7419713,594.2007556,682.419534,664.7086287
1989,341.4697222,381.948809,315.5870581,392.8187522
1990,537.4584304,563.0624362,777.8284041,685.9058076
1991,441.4848408,535.5137381,575.1446708,624.4285702
1992,535.6031855,576.1816348,607.8101652,637.6442364
1993,393.678457,603.7038488,524.8022167,698.5288111
1994,433.3485412,569.4764312,531.1060501,623.6843894
1995,399.3958509,496.3023065,553.7920977,590.6596756
1996,376.6234959,485.3757874,501.5620553,576.5463434
1997,518.0649519,433.1245701,459.6160993,506.8859809
1998,480.2124232,635.7310603,903.9466884,949.960291
1999,495.2917426,527.6320284,608.3140516,588.5627137
2000,433.9622305,548.959948,408.2238198,479.9624394
2001,537.0145521,607.6266548,653.2601724,784.3577286
2002,526.9483233,505.8270343,650.4482333,599.6016504
2003,473.5305833,582.2932068,782.1331087,822.7350346
2004,402.0805946,433.5921055,431.6917911,460.9847428
2005,481.2886766,600.8870081,698.2203013,721.2062827
2006,432.6876989,456.3818401,419.3600684,495.7900774
2007,522.1434408,706.7059956,907.5850457,815.3545075
2008,379.2180361,479.2800184,363.7727504,370.8035097
2009,249.7473721,419.2758896,518.0577464,456.1905581
2010,610.847162,526.8919512,1016.699793,868.1161017
2011,387.0956501,437.2018267,458.6391597,569.8602508
2011_12,493.5165414,444.1738248,560.7759782,476.8567001
