year,Buenos.Aires,Cordoba,Entre.Rios,Santa.Fe,Argentina
1966,27.55134127,28.96450887,28.85626723,29.57276692,28.73622107
1967,28.40424645,30.23826924,30.52249483,31.28980694,30.11370437
1968,28.42599121,30.50311659,30.88026563,31.84384754,30.41330524
1969,28.50987144,30.68517762,30.09082104,31.17588684,30.11543924
1970,28.00400395,30.05839233,30.9515381,31.50478683,30.1296803
1971,27.02811059,28.34237283,28.85627908,29.42270309,28.4123664
1972,28.74926967,30.8719356,30.47097823,31.6805018,30.44317133
1973,27.74787585,29.12356519,29.18372992,30.1669537,29.05553117
1974,27.05020033,28.87865304,28.97565022,29.71138914,28.65397318
1975,27.41501637,28.88319609,29.87030714,30.34376206,29.12807042
1976,26.9933029,28.81871919,28.97009323,29.66770874,28.61245602
1977,27.27973196,28.67340599,28.9113255,29.71855248,28.64575398
1978,27.21680296,27.78056782,28.72956739,29.76339477,28.37258324
1979,28.65923613,28.93923323,30.49672653,30.71535318,29.70263727
1980,29.86952942,31.38355062,31.84722504,32.51764619,31.40448782
1981,27.82874679,28.42380895,29.30617038,29.52730392,28.77150751
1982,28.61173646,28.99694164,30.20633903,30.14362833,29.48966137
1983,28.62643415,28.36017353,29.77795868,30.19915981,29.24093154
1984,27.66950505,28.86605229,29.53682869,30.12982887,29.05055373
1985,28.21919226,29.08934642,30.90433336,30.68017113,29.72326079
1986,27.62990271,29.66575563,30.71618917,31.06387114,29.76892966
1987,28.61556838,29.85678713,31.47851856,30.91634614,30.21680505
1988,27.77208247,29.05825949,30.47538162,31.01718236,29.58072649
1989,29.15152942,30.98390564,32.2728379,32.27819519,31.17161704
1990,27.33452298,28.35147332,29.21702768,29.63881661,28.63546015
1991,28.09888052,29.3259176,30.27272651,30.72365828,29.60529573
1992,28.00826817,29.48117627,30.10963526,30.51807076,29.52928762
1993,28.48373886,29.73256559,29.90995871,30.50641807,29.65817031
1994,28.02877608,28.86051811,29.69753245,29.89524914,29.12051895
1995,27.36995464,28.25327082,29.42939838,29.22905203,28.57041897
1996,28.44554313,28.93860302,30.15399404,29.87233482,29.35261875
1997,28.00961153,29.43616006,30.66310206,30.98902569,29.77447484
1998,25.88283964,26.41542198,27.45125879,27.87505257,26.90614325
1999,26.98162596,28.43746283,30.13607641,30.17807545,28.93331016
2000,28.44618907,27.90508818,30.49642436,30.05797009,29.22641793
2001,28.8957165,29.63678916,30.37767926,30.86915415,29.94483477
2002,27.5505526,28.66988977,29.75528017,30.47866605,29.11359715
2003,28.77789782,29.39626318,29.61964962,30.37571613,29.54238169
2004,28.74139188,29.71165709,30.89170761,31.23626463,30.1452553
2005,27.71203546,28.87931001,29.75212065,30.4284438,29.19297748
2006,27.26021452,29.21588827,30.53749915,31.0029378,29.50413494
2007,27.49155207,27.78976973,28.96298856,29.91307211,28.53934562
2008,27.70410564,28.76283457,30.1778572,30.82045062,29.36631201
2009,30.07573698,30.07511811,30.96956576,31.53526414,30.66392125
2010,27.76829163,29.71600958,30.00857054,30.85341136,29.58657078
2011,28.2328472,28.92809045,30.41193162,30.24551663,29.45459648
2012,28.44399915,30.69714285,30.85331966,32.11652407,30.52774643
