year,Buenos.Aires,Cordoba,Entre.Rios,Santa.Fe
1966,6.549853327,8.397928695,10.01646441,10.51056763
1967,6.943335767,8.561510632,11.20003146,11.16086588
1968,7.364000873,9.333516637,11.00473952,11.1367788
1969,7.211139026,8.943894412,10.36304054,10.67989576
1970,6.084295437,8.330093664,9.686620114,10.17325851
1971,6.900198878,8.687783562,9.798695712,10.21966953
1972,7.232596533,9.09949451,11.07698167,11.36072631
1973,6.418053455,7.895708684,9.660292836,10.01304289
1974,6.517611892,8.258782738,9.492417872,10.1736638
1975,7.036266149,8.762027819,10.15485951,10.66307968
1976,6.440429772,8.232523123,9.701968863,10.05939431
1977,7.294768796,9.295981156,10.7151961,11.15630243
1978,7.482555071,8.95302868,10.52812066,10.8444048
1979,6.85535352,8.524229463,9.877615691,10.63150132
1980,7.350931502,8.53265282,10.29087267,10.5299075
1981,7.225591976,8.892066916,10.84990593,11.27842168
1982,7.545472911,9.697780981,11.35676329,11.99284871
1983,6.395371836,8.323837104,10.40615777,10.77030137
1984,6.522258725,8.222011227,10.21435406,10.69321827
1985,7.615211304,9.433243082,11.50603684,11.84125733
1986,7.455812869,9.842600365,11.74792274,12.27381374
1987,6.99754825,8.564901943,10.15311601,10.43187407
1988,5.994373421,7.613761593,9.149666442,9.571005234
1989,7.484999067,8.951456826,10.4394567,10.71564341
1990,7.180380362,8.89138984,10.59535198,10.85714094
1991,7.258667588,8.976429859,11.58557003,11.802539
1992,6.848417642,8.82739039,10.80556206,11.12201917
1993,6.986195935,8.145393025,10.51316225,10.57990841
1994,8.157027016,10.36765168,12.36225487,12.65456033
1995,6.564263347,8.7114554,10.34884331,10.56445075
1996,6.980692635,8.733564886,10.26907054,10.39851281
1997,7.874670011,9.792782914,12.10893098,12.38864023
1998,7.563147457,9.021734189,11.11240971,11.15906676
1999,7.335215397,8.786725604,10.56768339,10.61570036
2000,6.955645166,8.504260478,10.56441105,10.62595848
2001,8.325065351,9.365725176,11.78675367,11.77140056
2002,7.922340438,8.996524149,11.44540588,11.36341879
2003,7.230647786,8.961638275,10.78720676,10.99591504
2004,7.231977689,8.54239121,10.83439668,10.82350681
2005,7.035444066,8.804441517,11.22175135,11.1370513
2006,7.258500937,8.945647559,11.23991045,11.17005821
2007,5.711102203,7.307642283,9.715926659,9.602631615
2008,7.237560349,8.532847356,11.00145644,10.96419674
2009,6.645187077,8.460099901,10.40850739,10.76305836
2010,6.953960649,7.927281537,10.31837689,10.18404398
2011,6.962814067,8.511487053,10.55365361,10.82594181
2012,7.907628746,9.182481643,11.53397383,11.82152973
