year,New.South.Wales,South.Australia,Australia
1966,314.1784487,134.8974742,224.5379615
1967,237.4564412,61.64193857,149.5491899
1968,268.5850819,192.6854932,230.6352876
1969,362.054114,124.5715623,243.3128382
1970,270.4220299,116.2463042,193.3341671
1971,246.9452549,140.5233975,193.7343262
1972,230.6091528,83.37206736,156.9906101
1973,413.2056534,230.4514519,321.8285527
1974,364.3307264,245.4564097,304.8935681
1975,333.0488681,195.5190859,264.283977
1976,298.761769,120.4776062,209.6196876
1977,229.8147275,114.3548106,172.0847691
1978,428.8869161,221.028282,324.9575991
1979,274.9386674,221.9538982,248.4462828
1980,225.5059375,115.3321536,170.4190456
1981,370.5593693,148.8550034,259.7071864
1982,123.0058457,50.286316,86.64608085
1983,421.2872916,106.4904293,263.8888605
1984,317.1386022,134.8633249,226.0009636
1985,359.0575935,124.8692301,241.9634118
1986,349.3159455,171.1671315,260.2415385
1987,315.3630483,95.06340382,205.2132261
1988,341.262451,115.5960002,228.4292256
1989,307.3966707,145.0853001,226.2409854
1990,295.6400713,135.1182281,215.3791497
1991,249.4393077,120.1582993,184.7988035
1992,310.940084,216.7614137,263.8507489
1993,348.5683618,180.6522207,264.6102913
1994,145.8166277,75.43186585,110.6242468
1995,339.3805474,152.2527577,245.8166526
1996,371.0021222,145.3769354,258.1895288
1997,257.4980473,150.3027988,203.9004231
1998,457.1800622,153.2260015,305.2030319
1999,360.3743753,133.6132437,246.9938095
2000,363.25776,143.865087,253.5614235
2001,267.4526939,190.9946563,229.2236751
2002,131.7362551,73.72003389,102.7281445
2003,275.0267175,135.1498067,205.0882621
2004,270.1356933,151.1324794,210.6340864
2005,364.7154165,161.115212,262.9153143
2006,207.1739701,68.94745851,138.0607143
2007,285.3934286,78.77455705,182.0839928
2008,271.7740581,105.8419899,188.808024
2009,235.6062277,144.9748666,190.2905472
2010,448.4511174,223.2956747,335.8733961
2011,320.3120052,130.2894327,225.300719
2012,213.7523548,65.15266844,139.4525116
