year,New.South.Wales,South.Australia,Australia
1966,19.40209675,21.90053826,20.65131751
1967,20.78644161,23.29862374,22.04253268
1968,19.15205074,21.2667397,20.20939522
1969,19.53321415,22.57422328,21.05371872
1970,19.6787501,22.30078038,20.98976524
1971,19.59927739,22.17181119,20.88554429
1972,21.13973445,23.53327785,22.33650615
1973,20.30338282,22.63026259,21.46682271
1974,19.09502892,21.80721563,20.45112228
1975,20.5485319,22.69658269,21.6225573
1976,19.64606862,21.90633537,20.776202
1977,20.82166993,23.29684313,22.05925653
1978,18.91330059,21.37483043,20.14406551
1979,20.39708047,22.41891216,21.40799632
1980,21.45208669,23.77587369,22.61398019
1981,19.77498075,22.82991858,21.30244967
1982,21.35092371,23.46380475,22.40736423
1983,19.58427465,23.00094125,21.29260795
1984,19.91759536,22.23627488,21.07693512
1985,19.85059111,22.33978415,21.09518763
1986,19.67527798,21.91833339,20.79680569
1987,20.25416441,22.80693104,21.53054773
1988,20.95064438,23.49020966,22.22042702
1989,19.70694189,21.75336858,20.73015524
1990,20.13977706,23.3088144,21.72429573
1991,21.15580083,23.75651083,22.45615583
1992,19.5673519,21.68937577,20.62836384
1993,20.46809082,22.85204922,21.66007002
1994,21.16850964,23.42834447,22.29842706
1995,20.54621685,22.81355954,21.6798882
1996,20.35951738,23.11350983,21.73651361
1997,20.9805497,22.40144361,21.69099666
1998,19.84282834,22.68049774,21.26166304
1999,20.76973917,23.37821763,22.0739784
2000,20.41722631,23.25311382,21.83517007
2001,20.64440094,22.5490314,21.59671617
2002,22.32123705,24.39963358,23.36043532
2003,20.61708202,23.14348824,21.88028513
2004,20.76281008,23.15021469,21.95651239
2005,21.12718839,23.68739717,22.40729278
2006,21.52948553,23.59986966,22.5646776
2007,21.29388743,23.70562018,22.49975381
2008,20.81550557,23.01810277,21.91680417
2009,21.57413149,23.57126404,22.57269777
2010,19.35593135,21.18676074,20.27134605
2011,21.30456529,23.13915142,22.22185836
2012,21.68066139,23.74722954,22.71394547
