year,Goias,Mato.Grosso,Rio.Grande.do.Sul,Parana,Santa.Catarina,Sao.Paulo,Minas.Gerais,Bahia,Mato.Grosso.do.Sul
1966_67,1115.464084,1207.860212,638.7732181,802.0121902,790.6645168,1058.630254,924.2448569,528.1802944,798.5622135
1967_68,1250.253436,1251.060339,521.41757,683.4680103,626.4284819,917.3133735,1094.952605,785.4858358,859.0279343
1969,1215.602873,1284.770558,665.3524871,763.4593657,753.5311445,772.790382,917.8276565,786.1364489,727.5576979
1970,1345.651073,1349.77632,605.2026125,747.0682491,827.3860403,1131.557834,1002.223472,667.3490587,762.1590421
1971,966.1673151,1148.820133,711.2727446,848.6551842,874.1249006,878.9693555,641.8263353,422.0973692,881.6803631
1972,1071.774538,1261.735671,725.3135982,821.8008487,738.5629902,964.3932515,879.4482571,484.2208349,820.9717386
1973,1351.275518,1364.2228,766.4000404,795.8409868,765.4000032,931.3376232,1088.349341,590.8924877,856.0145149
1974,1101.968451,1398.221466,606.1249542,796.77302,787.8676518,1011.304198,865.3931853,669.9466307,1084.715915
1975,1041.180497,1416.162889,703.6617187,779.8111247,771.3709665,873.1087674,806.1807721,572.8123702,788.9022755
1976,1005.981986,1315.612717,667.5166734,877.127978,827.9156602,1057.318012,746.4435757,373.1292025,875.6937743
1976_77,1200.940843,1285.732173,833.3154436,812.7118526,953.5712879,1102.342648,934.7899668,551.5101628,963.7873543
1978,1154.474232,1341.219729,566.959829,668.7613613,775.6842494,865.2221885,1036.79252,815.9241707,799.0015292
1979,1556.564463,1581.541861,498.8765536,574.7351256,657.2942527,905.0459886,1342.437566,745.6776679,980.1338205
1980,1438.357802,1439.91454,636.9655999,970.2571436,841.4192625,972.7847339,1080.588895,815.9454725,998.2896685
1981,1240.492673,1461.964052,727.5147912,666.4811453,739.781148,831.9829043,981.319827,716.9763975,916.987757
1982,1496.529326,1473.574984,524.3249453,805.0271639,755.5689432,1171.801624,1253.172474,498.3423816,1006.151194
1983,1306.794839,1336.248003,876.7208906,1058.849497,978.3202682,1242.850667,1174.704292,532.140671,1007.973997
1984,1157.122741,1328.598165,658.320951,656.243794,726.4028628,727.4943522,845.1686474,439.7402023,802.7009756
1985,1307.301191,1306.704277,638.4680365,792.2347852,842.7145168,908.0325902,1319.302652,591.991094,942.3799389
1986,1047.113155,1277.894829,511.0754299,706.0273627,636.1393534,805.0431325,826.3216925,643.6876595,647.8477867
1987,1132.264115,1268.107612,742.2706054,657.9993813,674.5432539,1032.91069,876.2369026,408.1361505,891.2603288
1988,1437.525343,1495.129507,648.7307919,578.660772,567.5090275,830.7245174,990.0168044,544.280871,963.1651793
1989,1160.488653,1361.497847,546.0331556,844.7472594,811.942492,841.0452079,723.0862268,475.8627553,951.0852154
1990,1346.5095,1354.98196,745.6765724,855.7764636,795.2909654,884.803976,979.3540203,708.4463892,822.3085437
1991,1252.778896,1361.647592,596.234261,652.963959,655.643487,913.855588,1024.542027,463.2758818,820.731977
1992,1380.480136,1353.296737,779.4289068,880.0409715,848.7037944,954.559759,1052.624739,765.8061439,1084.207791
1993,1139.504623,1309.954918,600.3046174,740.2689551,706.4267418,992.7215328,897.2059889,419.5903999,799.022742
1994,1317.796843,1431.071596,862.3641919,810.9837334,940.3295289,962.3632904,1014.401213,488.2204575,846.9407708
1995,1356.946103,1431.99416,669.1404113,1035.835649,924.6899431,1320.75288,939.4796164,413.7575264,1017.906497
1996,1211.047909,1451.173905,643.3782896,831.1934331,867.1361863,1151.341389,950.4337096,496.577544,1016.878566
1997,1495.438705,1458.286915,662.269511,999.615365,816.3539901,1028.691959,1153.666874,710.3094068,1065.509502
1998,1053.373615,1280.691948,1060.662354,1143.599664,1063.859001,1184.862914,892.7846785,370.887551,1024.455469
1999,1147.701105,1427.705218,494.1076943,664.8981994,636.581056,953.740796,988.9751737,556.9597146,954.0612036
2000,1317.620452,1389.726587,555.6556646,671.9620655,810.9376799,968.0597056,1067.825343,676.0566547,890.555661
2001,1225.667903,1325.554844,752.8570351,874.1285727,935.3833412,974.1908256,889.3069753,517.6150743,983.8647321
2002,1467.13569,1426.686953,692.7740495,698.9654531,636.7915829,1138.745938,1080.543765,581.4110828,969.7074272
2003,1277.602122,1403.176633,874.7562176,900.6238716,812.8494463,1018.334311,1078.140615,503.8791318,929.7787191
2004,1377.373607,1389.404214,621.5602377,728.5171658,930.0642494,887.3425009,1102.076188,746.0680463,759.9680473
2005,1304.927208,1405.125679,483.809236,642.9815794,726.0419952,1019.002936,1116.001149,676.0065788,742.5121041
2006,1412.411532,1363.774108,490.850306,682.3891324,596.6401474,1007.325032,1055.807637,531.522549,947.8630806
2007,1087.666611,1279.34353,777.9851689,978.4594495,781.1592396,1114.269045,1011.915521,524.6503273,1012.821764
2008,1348.97786,1413.524527,530.0219309,875.0636839,914.5341115,1164.85439,979.5868623,559.8958724,1030.004609
2009,1108.398491,1331.820441,492.6897267,682.6258413,692.9341964,966.2475224,1090.242679,514.1694464,839.2795362
2010,1263.813158,1464.445454,980.4881761,1087.817546,983.0324658,1311.285808,977.3778332,328.1294647,1041.674207
2011,1469.746261,1486.822047,546.6511053,921.0963283,952.4414713,1255.951014,1111.224722,532.8231405,870.823109
2011_12,1532.856845,1348.059041,504.416921,560.5970061,648.9293493,958.7557369,1106.353127,419.5095211,852.4845059
