year,Shandong,Hebei,Henan,Jilin,Liaoning,Heilongjiang,Inner_Mongolia,China
1966,388.35072,387.65952,270.1728,507.79008,559.96704,390.096,203.61024,386.8066286
1967,426.54816,416.99232,395.6256,350.33472,453.82464,301.34592,206.25408,364.41792
1968,277.26624,207.93888,375.42528,338.02272,311.44608,299.06496,160.99776,281.4517029
1969,353.30688,398.32992,276.16896,431.8704,516.85344,368.47008,247.78656,370.3980343
1970,532.5396192,307.66176,335.68992,328.76064,404.59392,239.47488,200.232,335.564677
1971,642.86784,366.39648,495.86688,446.85216,431.36064,326.7216,178.3296,412.6278857
1972,346.52448,217.944,324.03456,358.44768,283.77216,354.73248,156.58272,291.7197257
1973,444.79584,460.5984,418.12416,397.36224,505.63872,334.99872,220.90752,397.4893714
1974,552.6682272,349.81632,264.4704,346.51584,405.45792,302.95296,201.21696,346.1569467
1975,416.42208,291.53952,384.61824,416.88864,485.015472,299.91168,187.93728,354.6189874
1976,437.38272,385.78464,397.872,307.42848,375.90048,269.17056,222.73056,342.3242057
1977,385.8624,419.52384,402.42528,374.9328,456.34752,310.65984,222.50592,367.4653714
1978,504.42048,359.99424,309.4848,333.7632,372.31488,300.9312,200.4912,340.2
1979,395.21952,375.94368,442.48896,354.36096,421.43328,268.92864,247.13856,357.9305143
1980,387.17568,247.65696,472.59936,363.37248,334.2384,285.336,173.26656,323.37792
1981,331.7328,295.63488,385.89696,399.28896,353.45376,460.70208,223.79328,350.0718171
1982,375.64992,362.232,578.31192,311.43744,346.3776,282.4416,170.35488,346.68648
1983,264.22848,236.16576,391.03776,456.25248,389.99232,348.16608,201.4416,326.7549257
1984,472.68576,302.01984,497.48256,423.61056,460.78848,418.72032,254.02464,404.1903086
1985,417.4848,358.9056,263.50272,516.36096,651.0881952,394.38144,223.45632,403.5971479
1986,350.27424,310.98816,243.1728,562.78368,484.07328,334.8864,192.47328,354.09312
1987,405.31104,329.41728,411.33312,463.26816,433.53792,380.99808,185.76864,372.8048914
1988,357.46272,366.7248,304.87104,372.1248,357.0912,331.49088,216.80352,329.5098514
1989,305.18208,266.65632,497.46528,374.62176,342.73152,330.264,191.1168,329.71968
1990,620.2217088,378.61344,381.87072,430.21152,411.02208,392.49792,259.70112,410.5912155
1991,358.93152,364.59936,313.60608,437.14944,454.7232,447.05088,224.0784,371.4484114
1992,283.72896,266.77728,331.89696,329.89248,313.85664,355.12992,193.03488,296.3310171
1993,438.3504,289.27584,319.65408,353.2032,385.69824,381.05856,233.80704,343.0067657
1994,483.47712,491.732208,495.91872,369.1008,584.1347616,322.60032,225.35712,424.6172928
1995,420.2496,351.9504,443.30976,543.3696,595.8562176,309.73536,199.38528,409.1223168
1996,485.84448,474.1632,447.5952,416.47392,513.2308608,351,266.94144,422.178443
1997,197.1648,203.8176,203.16096,285.65568,355.12128,351.19872,184.248,254.3381486
1998,541.84896,424.83744,510.3216,476.33184,614.2264128,370.54368,248.37408,455.2120018
1999,293.7168,191.36736,416.7072,393.67296,348.8832,320.328,151.5456,302.3173029
2000,445.27968,246.85344,448.3728,421.66656,293.70816,328.8384,173.11968,336.8341029
2001,491.20992,220.63104,342.1008,394.39008,447.19776,268.86816,135.0864,328.4977371
2002,292.90464,232.95168,381.3264,490.76064,478.03392,332.02656,161.4816,338.49792
2003,560.952,278.15616,596.61792,389.49984,394.77024,409.46688,235.50912,409.2817371
2004,602.4613248,368.064,566.4466944,337.44384,508.06656,273.08448,190.7712,406.6197285
2005,526.58208,281.13696,493.42176,464.0544,516.89664,297.6912,166.12128,392.2720457
2006,405.82944,254.8368,433.82304,395.21952,358.88832,390.096,164.35008,343.2918857
2007,623.5442208,283.25376,459.44064,330.8688,419.42016,224.88192,143.27712,354.9552315
2008,518.7760992,296.80992,452.48544,408.8448,421.99488,233.3664,197.41536,361.3846999
2009,413.1648,312.44832,442.99008,344.3472,335.98368,416.664,176.78304,348.9115886
2010,487.3911264,300.89664,420.43104,451.64736,497.6721216,357.264,147.01824,380.331504
2011,440.89056,375.70176,305.89056,304.11936,414.30528,300.13632,185.88096,332.4178286
2012,366.45696,354.04128,313.21728,483.01056,473.70528,356.4864,252.33984,371.3225143
