year,Shandong,Hebei,Henan,Jilin,Liaoning,Heilongjiang,Inner_Mongolia
1966,27.56150916,25.88370552,29.93811582,23.38195088,24.18543389,22.3312757,23.84424904
1967,27.86789514,26.00826441,29.81778331,24.41507065,24.85234446,22.5507353,23.82008611
1968,27.74375218,26.72165383,29.32025856,23.40952035,24.59221964,22.32754939,23.80186249
1969,26.70028942,25.30110787,29.1983566,22.54179194,23.87701604,20.99282844,23.03769197
1970,26.00715528,25.13684052,28.25365482,24.21529778,24.3895505,22.92747709,23.64413648
1971,26.64923731,25.70723177,28.86449855,22.57536391,24.18218918,21.63715179,23.55780574
1972,26.51070569,26.24831282,28.69546286,22.90187268,24.28641067,20.90966774,23.63837025
1973,26.32936312,24.7012609,27.89015015,23.77003903,24.00127009,22.81277593,23.53052186
1974,26.87495047,25.64542894,28.90007493,23.0788363,24.42165318,21.79582807,23.71601714
1975,27.07943687,26.25084864,28.48484893,24.24575724,25.14386931,23.14989384,24.21289508
1976,25.79880808,24.49883877,28.03831899,22.84642688,23.31031654,22.01839361,22.75662936
1977,26.58930469,25.38690872,28.3339271,24.17719343,24.74141332,22.89161962,23.59083915
1978,27.63625208,25.86879206,29.81726101,24.43836835,24.90989799,22.78547003,23.78555468
1979,26.65566307,24.85785324,28.32583487,23.54596572,24.15998969,22.7400014,23.19732169
1980,26.30387993,25.95114023,27.87045355,23.35981122,24.32046165,22.27631347,23.92079251
1981,27.61547317,26.63066121,29.16915694,23.14165085,24.92423026,21.18163559,23.76121885
1982,27.14492553,26.17183621,28.05016412,24.53761319,25.23693665,23.1231553,23.78562539
1983,27.55491498,26.79932078,28.15821359,22.89180298,25.20333869,20.76060658,23.34627185
1984,26.10520679,26.05358575,27.36467118,23.77416431,25.05614081,22.13956777,23.34599952
1985,25.80107399,25.06628926,27.88063556,23.44071168,24.05080594,22.14109001,23.30123687
1986,27.19445176,26.33962049,29.35331312,22.635319,23.96600869,22.34877675,24.15043206
1987,26.90846884,26.20405957,28.61608018,23.08771377,24.32426199,21.53397892,23.59592583
1988,26.99745744,25.93748293,28.60115113,23.53658616,25.11920048,22.26909361,23.81316955
1989,26.61872463,25.95997607,27.55632464,23.10441183,24.43172114,22.01367436,23.44476801
1990,26.59344244,25.68963583,28.71574457,22.88385442,23.82723824,22.05427344,23.34723586
1991,26.64012577,26.13760218,28.24540936,23.35146577,24.41658515,21.96877027,23.98787846
1992,26.84495728,25.918564,28.14488923,22.86255412,24.01579252,21.96500809,23.38947834
1993,26.48563555,26.30224019,27.64831058,22.67629621,24.2592835,21.50652206,23.31621051
1994,28.17213488,27.3580189,29.61199493,24.1258621,25.50617184,22.92851647,24.55320658
1995,26.58893265,25.39800577,28.69732029,22.76219285,23.68771028,22.05450173,23.51536504
1996,26.63384282,25.68393852,28.01981409,23.52031332,24.38707836,22.61176383,23.80372946
1997,27.89430951,26.71119969,29.63596477,24.1690804,25.47768989,22.33526973,24.43441708
1998,26.81069844,26.02001933,28.53527659,23.40624867,24.59350656,22.31782788,23.91062727
1999,27.29607838,26.58726439,28.77703218,24.02198594,25.35255244,22.28151632,24.56845117
2000,27.73552414,27.47364203,28.96076286,25.21538936,26.53466227,24.07223193,25.72961813
2001,27.79735079,27.43879047,29.66133751,24.66705535,25.90695412,23.16063951,25.53841408
2002,27.05288066,26.54634012,28.81544429,24.36324947,25.62291528,23.02382565,24.8942529
2003,25.80109278,25.89948743,27.73229557,23.72751051,24.80755157,21.99568836,23.9163673
2004,26.16061183,25.89263391,28.49902331,24.48518344,25.12220837,23.00919201,24.43017504
2005,26.9227086,26.78717789,28.7112489,23.5523162,24.92811034,22.45441805,25.02213058
2006,26.88908085,26.4429942,29.1406738,24.24576164,25.21452156,23.12366158,24.76888686
2007,27.05051906,27.25706606,29.12505007,24.61112863,25.94788614,23.50163905,25.67317816
2008,26.14796506,25.9079848,28.77369873,23.85222489,24.54208008,23.08488206,24.39586533
2009,26.93754961,26.84913312,29.00878462,23.78982532,25.25528881,22.23088932,24.50355568
2010,26.67546915,26.67085667,28.79660369,24.25870806,24.83146297,23.45864994,25.01986405
2011,26.09471366,26.27962565,28.30656681,23.78315547,24.87090406,22.73373884,24.43783371
2012,26.80045581,26.52969583,29.32422253,23.60224202,25.18034682,22.81929749,24.37848898
