Anhui,Guangdong,Guangxi,Guizhou,Henan,Hubei,Hunan,Jiangsu,Jiangxi,Sichuan,Yunnan
177.921131,179.1321137,171.3826742,168.536451,179.7318464,170.529132,164.028103,179.0607262,168.6696414,187.1962717,199.3774445
166.9070583,177.2715448,168.342624,162.5019159,171.0669239,161.9117306,156.3089474,169.1150567,165.6810329,181.6067052,202.0938992
175.4913761,170.8770658,159.9558277,155.0480604,181.7744304,168.5508716,156.7171999,178.8934347,166.0825842,181.177857,190.1287069
167.5557913,173.2901913,168.0680731,168.693483,178.8028346,164.9642862,158.9738519,172.1346402,164.9284687,192.372183,211.5721163
153.9579268,162.1951107,155.265439,158.7351248,171.3680659,159.4181052,147.5244261,157.0765898,149.3751362,186.7719822,197.455138
170.0674225,180.6382451,170.3820961,170.629614,176.0453873,165.9097681,162.5912391,174.2086252,170.5058028,185.1888431,198.8412586
161.6298954,169.8142425,168.5551668,165.2844131,175.6061521,158.6855874,155.5716538,167.8306174,158.0055943,184.4147511,203.2714469
159.6262652,155.7465679,156.77398,163.1155621,168.6632743,160.9876259,147.5217568,163.9825165,151.0889726,187.7282191,200.1801937
169.5768926,175.438567,169.1405988,159.5143988,172.8665764,164.2256531,162.2238835,171.1694781,171.6538726,178.4110665,189.625611
159.3684756,158.0875121,155.4594472,154.3065624,168.3933902,156.6341763,144.4053234,163.3794383,149.9381519,177.5958817,200.5822093
165.1332917,169.279925,160.1270558,153.2254812,168.1229348,160.7556919,154.5490577,166.1581081,162.1747848,177.3079921,195.5915361
162.8881219,174.4825797,165.0334769,158.6938448,177.0633923,163.9280648,152.4373524,164.1833384,158.9343125,183.3470432,190.574
178.1051823,166.2987819,166.5882163,171.9907134,183.7785051,175.0203954,164.1658294,181.4285738,167.3918584,189.0558356,207.2063254
180.2776372,170.8962136,166.6104621,163.93157,187.8528369,177.76848,161.7537685,181.2643623,169.1216064,189.3665589,204.8473003
160.7710371,171.8458097,164.5131148,156.8970956,173.9225095,160.6492822,153.9735438,164.7189558,158.1261388,182.8458489,201.8461875
166.8789025,162.6141538,160.7732917,162.5574112,176.8477667,163.6782681,154.8155604,171.9736582,155.9927936,181.4785824,199.1141088
160.6520621,164.9427327,160.3463859,152.0961183,171.5654642,154.2810431,143.7311523,166.4760556,153.5755392,179.920718,203.8798277
171.5181438,172.2887307,168.4754433,158.0958912,180.8557106,167.9478283,156.017255,174.0571129,161.6349587,182.547245,198.3928271
167.7335824,173.6383803,173.8057346,170.3293422,173.2275248,166.9721722,163.8739311,170.5295221,167.5282261,191.2623637,215.2211414
163.2563497,165.681016,169.1838366,165.2097205,170.1990083,162.1360898,157.0774428,165.4206198,161.4225823,182.7086189,199.8529361
173.5167366,180.0588745,173.0667389,161.6409487,184.222705,171.0358105,162.9266993,174.5289248,171.0943116,186.913216,208.2157758
163.5345152,166.2818043,164.4827725,160.9241443,174.7046528,159.3662863,150.2578016,167.4841577,156.5907292,188.0608915,209.2518674
169.3588419,163.6039982,160.929635,159.1190252,173.9952521,164.9366134,156.6601762,172.7706541,160.8919353,180.1905653,198.202032
156.5396178,175.9991185,167.1260286,154.3636928,166.1239847,149.5315719,147.3983647,163.1679372,155.9713762,174.926729,201.4962399
168.3190267,168.4299811,165.849481,167.863992,178.4553341,171.0597826,158.0623107,169.4713513,161.3970606,186.2578026,198.5937465
161.3561056,180.6412138,169.8299795,159.3173349,173.496743,159.602839,155.1686853,163.9454205,165.2116699,181.7600089,200.9118228
175.0312704,173.1706913,177.1906428,171.4726574,182.0624819,172.9740598,163.8812565,178.109091,167.2562899,191.3215374,213.7541537
164.2262456,170.2395572,166.1728522,163.2688689,175.1802013,159.3596126,151.070088,166.5883487,157.5625977,189.4725631,212.5975587
172.9111725,163.5335774,155.8232406,159.9212317,180.7557723,164.4330227,148.4272151,177.821513,159.5453975,191.8986846,209.0008499
174.1580483,168.8465111,164.9397338,161.7651834,183.4636483,169.8857582,159.7913239,176.2475872,164.436355,186.6445895,201.7546435
160.3033594,173.1128014,165.7082162,159.5569608,167.2945444,156.1928962,153.2867679,165.7514048,161.9849919,184.2180852,204.6977883
176.0609981,163.9222764,160.6308322,163.4792538,189.8719232,172.2057164,153.1314431,180.5980507,157.440851,193.9098341,211.5577491
169.3364932,172.9709488,174.851329,173.7492347,177.5904026,169.9395553,164.2240749,169.50068,166.7291855,194.3537881,209.8310061
157.5171823,173.7315777,165.7033161,159.352176,173.548373,159.1639299,150.3582143,160.6282666,157.0223155,179.2199511,199.4712893
166.1624764,171.3016265,165.3499777,154.9547871,174.376217,163.2885378,149.4010283,171.1731037,154.6731597,183.5394542,192.785425
172.5690974,171.5806578,165.5381822,163.0264157,179.9749673,171.8893676,160.1314032,172.7306898,166.2641248,184.7989888,192.9241673
165.6037978,167.6703677,156.5076504,158.7784131,176.0136708,161.4292727,146.9714922,169.8261671,156.8708841,185.8839701,196.349131
