"Shandong","Hebei","Henan","Jilin","Inner.Mongolia","Anhui","Jiangsu","Heilongjiang","Liaoning"
65.41236783,38.061690782,88.910359799,10.402976331,17.378422337,77.129405179,67.497448975,4.529027542,9.89014849
73.621595647,42.727088101,91.523573197,18.384930865,19.534755837,92.092112618,79.426275505,8.308546111,18.003672362
69.142742715,51.30312262,82.767990073,15.137098664,24.006041128,76.479022937,58.104336737,11.091901522,18.084623983
56.222044218,35.375222142,82.024658812,9.152800562,18.193703288,62.376654858,53.818112242,4.273968849,12.79035606
40.061358539,29.264026405,63.906947892,15.749003984,22.917476668,58.92373672,47.133418362,10.974740785,10.66310075
48.672701062,37.664508757,71.209367241,8.328333724,18.351063005,71.749766928,60.686224486,4.616909515,10.752834106
48.879525787,48.314039102,70.867866001,13.01429576,23.865991554,58.4471378,39.367602045,4.097519755,20.65304167
45.75168216,27.292840822,58.512872199,16.141317085,16.348642683,62.484989744,54.919132655,9.680902571,12.883123104
50.623037482,36.223914702,74.374534726,15.261073354,22.46230105,64.148424387,47.274999993,8.348558899,14.410985151
55.710990069,44.381315052,72.116625318,13.079681276,24.148394841,72.640499712,58.661734694,8.20833143,16.092607375
36.247837227,25.235211983,54.399503721,9.9518397,11.931533904,60.800857731,43.935969384,7.728086602,4.931023471
53.900192248,33.348946437,67.648263033,15.787672842,17.01835573,59.528249113,50.590816323,7.639884895,16.231518442
63.192886899,40.137979188,90.679590575,19.53327865,20.653951904,95.932873392,86.160459172,10.568035446,18.055245089
56.040531878,30.448591013,72.18703474,11.453363018,14.710645549,77.261607312,60.591581642,7.723610286,11.094204055
40.083787251,39.168316828,48.404466496,12.210686665,25.442357593,40.972589972,25.80204082,9.550815329,12.157432541
68.208586991,48.172251838,79.222704717,11.811928756,22.48869225,78.919448069,65.787244894,4.818617823,20.022034172
52.519224612,41.481848194,59.029466502,27.334778536,22.666808658,60.410591094,48.508163267,20.970538528,23.4957688
62.989266259,48.322797663,57.967586848,7.73306773,16.544805018,65.697370876,54.259693883,2.926186453,17.225291394
41.753764812,39.020944395,52.617245652,12.466955707,14.80596755,68.743240723,56.994897955,3.577262139,17.661504072
49.606536358,32.223280014,66.531017376,5.8555191,16.080470898,70.603580087,54.304081638,4.223222034,7.281175156
56.882890092,42.652449867,83.801488836,5.259667214,18.607927041,70.878053327,50.860204075,4.962271045,6.78349034
58.170297988,43.467504441,72.407723328,8.022029529,19.147988229,68.623718071,53.466326532,6.052665236,12.435893343
54.952258901,36.671997971,67.297456581,16.376494023,21.098749177,69.717322392,58.255102037,8.877175353,20.923838416
44.396026909,38.001396287,43.300868491,11.14518397,16.174960306,46.082043631,34.715306119,8.054903393,15.419766886
48.521307277,36.669205383,72.8501861,7.367119757,15.843821399,78.193361914,67.546938774,5.836294706,10.438448029
53.301986548,45.746636203,65.129807691,9.850128896,25.813286603,62.928398283,48.69719388,4.514045584,14.120868593
54.387055437,38.575907587,64.531792803,10.987461917,17.382198042,63.670147307,52.015561228,7.674507834,10.705093406
42.679750066,39.452526025,49.263492557,5.69545348,11.729872594,42.853626698,30.851275504,2.506006486,7.953536644
74.875040053,55.825971057,87.316842435,18.995898758,24.722843976,84.2701846,74.803826527,11.581418719,25.543030498
49.933835304,33.445798425,71.510856074,8.312280291,16.844808891,69.532164823,57.129846933,6.197140638,7.559795626
43.171739835,32.307819248,54.512872205,10.755214437,17.340219959,55.650009318,44.850765304,6.238478053,11.038000958
73.760173029,54.333079457,91.201767997,28.616006567,31.917341132,73.767107958,71.565816325,12.196912255,35.650167643
55.027395063,39.236227472,69.736352351,6.664401218,19.399895442,70.350550064,59.363265311,4.094231033,9.825961999
56.692566485,49.066768221,70.026364762,19.987930634,29.835456759,55.14506806,41.190561222,11.032065044,26.359412424
68.142582513,56.217440975,73.425558311,27.357745487,33.870599849,75.200633974,60.711734694,18.137121455,36.922241742
65.281320085,52.570830166,86.070099262,23.712092803,36.45418813,68.646280065,52.789795915,14.974695109,26.485550056
59.629125278,44.407463823,77.34848015,13.890321069,29.638326295,64.390826031,49.44770408,6.868679486,18.54223216
32.701217558,34.050266564,49.166873444,8.819662527,19.439278937,67.100503447,44.641581634,4.42995478,10.383043269
33.176545976,30.653084532,62.115229531,17.096672136,26.14738799,68.799366022,55.538265306,11.441922075,15.828676354
54.604934312,46.766057381,64.434088087,11.080853058,31.159993033,73.563304123,58.81045918,6.724569497,16.644738943
52.290611981,40.794744855,77.872673701,14.554019217,27.554621849,83.826030205,68.014540824,11.176723153,16.397892384
48.229734053,49.640898718,74.989764275,23.712209982,34.415133801,80.118217414,60.928061221,16.829854291,25.70477407
40.148510093,39.899720743,72.725186105,15.561518631,26.62467568,67.080924859,45.692857148,15.287352122,14.798499122
48.787728293,44.302995691,75.055055836,13.822006093,27.245459474,78.525265714,58.704081638,7.466496139,17.889509823
48.029637932,46.37382585,74.828163766,18.24326225,33.456395461,72.646839449,62.526530615,13.959804504,15.989621587
39.920698493,41.490987556,69.346929282,13.352589641,29.302521008,62.544284913,45.682908165,12.173114695,16.418649209
46.707785965,40.538588473,75.773728287,11.445277712,24.273767572,71.426440418,59.307908164,8.169551911,16.309915376
