"Hungary","Austria","Germany","Romania","Italy","France"
18.087103365,12.91723503,15.4916748975,17.5305568375,17.9644985675,15.96565779
18.9898073025,13.627507865,15.8650043425,17.9346756075,18.2727720675,16.47242168
18.6668802,12.938914745,15.1064822975,18.0330289375,17.6840631275,15.6146462375
18.5342884575,13.271549095,15.8527504175,17.54223319,17.850915685,16.307299175
17.95210768,12.88964952575,15.5244820625,17.18960197,17.880162155,16.68776066
19.1654893875,14.0002622225,16.157812205,17.825156695,18.6803725525,16.7419064525
18.61428525,13.118258463,15.0594174575,18.09040832,17.5499447225,15.223803675
18.65338134,13.8668051025,16.13704911,17.3592663375,18.6159871475,17.276121275
17.706656845,12.8473782955,14.619998745,16.64771097,18.0318403225,16.1415256325
18.70918001,13.4355659875,16.0697584675,17.9471126525,17.9057098075,16.7133650425
17.8678111025,13.301765725,16.6221719025,16.1975237375,17.90583596,18.2770601
18.319731365,13.3319511025,15.0087491075,17.6574148275,17.7469757775,15.30475653
16.87726181,12.09437892025,14.4593531525,16.22078329,17.407418825,15.3984529175
18.6634453125,13.165534185,15.1344394975,17.665796725,18.4623681,16.1015318875
17.1372286375,12.41871857025,14.4614822175,16.4549930825,17.26943584,15.4290139425
18.66772063,13.539075695,15.5392287775,17.52366472,18.0826705925,16.175146525
19.1746045875,14.2216307375,16.5175268975,17.873362155,19.2242883175,17.3151399525
19.685991205,14.6893010475,16.757914865,18.063932715,18.9577516875,17.586332835
17.464055975,12.62049452475,14.643103725,16.6442794575,17.53544931,15.8867406925
18.3829124025,13.655984965,15.41074323,17.6991400425,18.7486855225,16.19351166
19.28202186,14.1614201075,16.107965435,18.266412815,19.0564897625,16.8625308675
18.265136065,12.95375340925,14.25158215075,17.6417448325,18.255702525,15.943182955
19.2039824075,14.273680585,16.1431219275,18.39313254,19.2386881675,16.6451625625
18.2664128825,13.39193618,16.346828115,17.23203625,18.48770995,18.2030483375
18.9251270325,14.1094076775,16.4138902225,17.68403301,18.94212197,18.0534328975
18.2222572675,13.27694686975,15.38870048725,17.164672155,18.242978955,16.84528036
20.0628935875,15.435866745,17.71283808,18.372633415,19.1238224325,17.631173465
19.65626657,14.4903355525,15.871853555,18.1086130475,19.27858023,16.9783975575
20.1300616425,15.388328545,17.22329992,18.6247606225,19.8703928425,18.1330697475
19.1458085575,14.15162765,16.585268375,18.148691795,18.6030413375,17.88511058
19.0140243675,13.875220125,15.1956439025,18.5646025475,18.54932273,16.8378469925
18.95380747,14.11533445,16.62897458,17.8486218,18.90634804,17.72054547
19.3329512975,14.73405831,16.20220391,18.238865275,19.650081745,17.7154222525
19.15815179,14.40692031,16.57338508,18.700778925,19.6958107275,18.05104582
20.250525575,14.9701721275,16.4236599025,19.240304635,19.738570655,17.68764477
19.7095555975,14.78160816,16.7340475825,18.7018691825,19.75674996,17.823576615
20.69077246,15.2309051725,17.1464308075,19.41002274,19.35353515,17.0003524875
21.65454664,16.4658667925,18.2137717975,20.1799281825,21.2382161875,19.1395382
18.6798159875,13.5977079825,15.7670201,17.86948992,18.7866699875,17.4090930975
18.86990785,13.981666795,16.0409916625,18.06483726,19.5608004775,18.016585055
19.259735065,14.3374798825,17.12881844,18.182230135,19.5111758225,18.3501192025
20.908753255,15.20215252,16.773767505,20.3171926725,19.7630576975,17.0716103675
19.99453314,14.92851159,17.0664792,19.069403895,19.720454915,17.5092703475
20.103075875,14.9921175025,16.7356060775,19.2279835225,20.18486919,18.272685625
19.704658295,14.5241494525,16.359407075,19.454112105,19.40540636,17.34274074
19.8920223,14.766007775,16.4839531,18.9793766775,19.59579563,17.45663535
21.18703062,15.6705521,16.79617399,20.51086269,20.2369457025,17.78829528
