year,Poland,United.Kingdom,Germany,France
1966,118.35936,278.64864,159.68448,205.60608
1967,109.52928,198.8928,117.56448,159.90048
1968,68.097024,170.53632,67.24512,155.81376
1969,81.51408,261.02304,107.49024,175.71168
1970,126.1872,257.02272,102.61728,131.5872
1971,78.2784,193.94208,93.096,131.89824
1972,48.05136,258.80256,89.129376,147.19968
1973,82.67616,222.60096,126.99936,120.32928
1974,116.14752,295.84224,168.73056,140.59872
1975,59.4432,167.81472,80.225856,155.3904
1976,90.04608,209.10528,94.84992,188.86176
1977,84.26592,246.48192,140.2272,153.29952
1978,79.82496,287.61696,98.35776,138.5424
1979,105.3648,326.32416,172.368,187.92
1980,78.48576,264.07296,107.08416,136.93536
1981,121.20192,223.84512,152.35776,194.20992
1982,77.06016,323.93088,111.38688,220.06944
1983,62.48448,217.88352,96.18048,109.31328
1984,45.374688,308.37024,85.48416,180.71424
1985,96.27552,268.25472,128.18304,126.24768
1986,82.944,365.2992,124.88256,138.74112
1987,107.9136,186.26976,112.99392,132.52896
1988,99.7056,156.20256,136.2096,89.19072
1989,79.29792,193.46688,109.84032,141.15168
1990,86.25312,230.45472,135.65664,153.52416
1991,91.01376,235.9152,131.65632,134.8704
1992,87.87744,288.80064,142.84512,168.05664
1993,89.36352,285.69024,148.18464,171.77184
1994,92.29248,308.81952,117.3312,152.28
1995,58.22928,193.04352,88.15392,173.82816
1996,49.275648,240.56352,103.7664,235.79424
1997,77.48352,286.75296,102.17664,218.7648
1998,74.45952,259.43328,103.28256,121.0032
1999,77.8032,323.352,145.52352,201.2688
2000,95.7744,352.08,91.03968,236.84832
2001,79.43616,177.31872,131.56128,92.42208
2002,57.3264,307.85184,159.4944,235.47456
2003,68.98176,255.92544,87.36768,164.5056
2004,80.224128,183.82464,99.22176,104.64768
2005,105.68448,197.76096,94.23648,130.93056
2006,79.21152,314.01216,92.91456,133.04736
2007,71.914176,233.46144,124.62336,117.87552
2008,66.71808,203.45472,78.76224,166.8816
2009,97.9344,355.81248,160.7904,216.35424
2010,145.04832,179.24544,161.79264,193.29408
2011,54.7344,268.68672,103.7232,183.9456
2012,81.29376,341.50464,136.35648,188.86176
