year,Poland,United.Kingdom,Germany,France
1966,0,0,0,0
1967,0,0,0,0.115406988
1968,0,0,0,0.002326754
1969,0,0,0,0.015511692
1970,0,0,0,0.050412999
1971,0.063167531,0,0.016330974,0.025943305
1972,0,0,0,0
1973,0,0,0,0.221468182
1974,0.054928288,0,0,0.050451778
1975,0,0,0.032661949,0.29301586
1976,0,0,0.18279804,0.376817776
1977,0,0,0,0
1978,0,0,0,0
1979,0.017027769,0,0,0.031992865
1980,0,0,0,0.003877923
1981,0,0,0,0.064567418
1982,0.143057674,0,0,0.481754372
1983,0.23454379,0,0.24697877,1.842750223
1984,0,0,0,0.228293326
1985,0,0,0.005443658,0.070772095
1986,0,0,0,0.192693993
1987,0,0,0,0.306898825
1988,0.012206286,0,0,0.114670183
1989,0,0,0,0.557684104
1990,0.073237717,0.007401377,0.238595536,2.343079847
1991,0.012206286,0,0.063690801,1.058130066
1992,1.071833995,0,0.299183451,0.16415248
1993,0,0,0,0.166362896
1994,2.870430272,0,1.156668481,1.091518982
1995,0.026609704,0,0.256069679,0.741109861
1996,0,0,0,0.007523171
1997,0.036618858,0,0,0.252879358
1998,0,0,0.027218291,0.951448404
1999,0,0,0.010887316,0.36654128
2000,0.060970399,0,0.102612956,0.107573584
2001,0,0,0.026891671,0.563345873
2002,0.108880073,0,0.020250408,0.030907046
2003,0.039304241,0,1.052204682,5.452863846
2004,0,0,0.054436581,0.42854927
2005,0.006103143,0,0.107348939,0.479621514
2006,0.957827281,0,1.128470332,1.877690309
2007,0.162404638,0,0.078062058,0.015511692
2008,0.009887092,0,0,0.129289952
2009,0.006103143,0,0.070332063,0.993640206
2010,0.352822704,0,0.650408274,0.677124133
2011,0.018309429,0,0,0.403497887
2012,0.253341471,0,0.153783342,1.070035289
