Madhya_Pradesh,Rajasthan,Uttar__Pradesh,Bihar,Maharashtra,Karnataka,Andhra_Pradesh
33.44055168,35.49830791,35.18317867,33.45635124,32.59569311,29.94341537,32.77768918
32.3823938,34.69530211,34.44402608,33.30551613,31.74368035,29.24115473,32.18578029
32.81098427,36.26678512,34.63935765,32.72487233,32.08626918,29.57555645,32.59933945
32.52425256,36.32581452,34.78807876,33.15188128,31.78435441,29.63420741,32.48346643
32.0343239,35.07521008,34.30587755,32.76907087,31.26297896,29.16488886,31.87286685
31.04443255,34.06085603,32.87917406,31.64351442,31.27349287,29.16369279,32.15710921
33.09767375,36.11367131,35.03190368,33.3109014,32.54592665,30.39487002,33.49015977
32.00883003,34.83422671,34.09794379,32.31566013,31.32928709,29.37489829,32.51625111
32.85622679,36.13294985,34.63913058,33.10061522,31.89632663,29.41102245,32.58165794
31.82350332,34.20634377,33.52542077,32.54915964,31.14692294,28.80745238,31.95994683
32.3636883,34.8264839,34.1499534,32.96831503,31.77490648,29.90504368,32.47161539
32.24489815,34.82829727,33.74597146,32.6942905,31.75510524,29.78550143,32.69197575
31.9806583,34.8308708,33.7145561,32.41742578,31.26207809,29.00044221,32.1098008
33.63406596,36.07317408,35.20146602,33.959658,32.30501966,29.652489,33.09852799
32.42402357,35.97294809,33.78201159,32.74922372,31.69464346,29.66443782,32.49327434
32.79231616,35.90867338,34.37981058,33.16328967,31.82068537,29.35375197,32.441398
33.13249366,36.13434051,34.86306169,33.8374552,32.27988761,29.92299051,32.82804481
32.46439595,35.19542005,34.2304997,33.64392204,31.94061313,29.78183643,32.6812774
32.08446378,34.82500355,34.01367804,32.64589938,31.37705872,29.47042247,32.5810652
32.02653966,34.78506805,33.74111723,32.79441924,31.4915866,29.56999437,32.34561449
32.64784393,35.42042983,33.99953663,32.83529456,32.20259364,30.19562515,33.15015335
34.21706722,37.55209001,35.67351563,33.41681812,32.96756801,30.60083332,33.54978252
32.70934113,35.67515192,34.06557106,32.97533026,32.13675793,30.03484889,32.86257382
32.92834805,35.84955816,34.47239249,33.12923598,31.68067646,29.69786906,32.58177346
31.73246627,34.80628052,33.61063188,32.80174871,31.06617702,29.64332566,32.23631599
32.87869106,35.76999097,34.33879454,33.00681593,31.90617812,29.67335321,32.62306923
32.88275564,35.16462088,34.06900784,33.09534714,32.056529,29.83403678,32.83488016
32.74266753,35.56897936,34.36452467,33.28225603,31.84873691,29.90676562,32.93320564
31.48921198,34.31789054,34.06367227,33.33084758,31.04076266,29.69503482,32.46718811
33.32235793,35.80889737,34.89932918,33.5247013,32.48255071,30.23270353,33.05005924
32.52798214,34.64672337,34.19682665,32.72724669,31.74579346,29.78540778,32.69289003
32.38206117,34.17035627,33.95293808,33.04119971,31.87893592,30.48776633,33.34672456
33.26336554,35.49192114,34.548239,33.98403947,32.42439366,30.22890013,33.3142851
32.32080995,35.28433704,34.28187702,32.94201451,31.36056843,29.72271018,32.58312108
32.80054846,35.63892551,34.38201845,33.07466376,31.84153418,29.49397844,32.43487952
32.55054207,35.13058641,34.687353,33.33586635,31.78777231,29.8707897,32.87937116
33.09282056,36.15307899,34.87349228,33.3947326,31.9607103,30.24340904,33.0507051
32.69980624,35.16524935,34.82651512,33.71277344,31.76697634,30.40298643,33.24150908
32.82603664,35.63754947,34.62820045,33.31233023,31.82915091,29.67877885,32.67247114
33.07438681,35.60668714,34.90825704,33.55873608,32.11757101,29.9602804,33.12873983
32.7159361,35.2730064,34.47524423,33.3987848,32.01521292,30.17679857,33.16077718
32.77016911,35.8041576,34.69464594,33.83654566,32.18327023,29.98232484,32.90895997
32.22599431,35.38742405,33.7614825,32.91299745,31.82028467,29.93044691,32.99093989
33.38406397,36.44680959,35.04772769,34.02775978,32.55145591,30.10108247,33.51676445
33.46937241,35.78545797,35.21207031,34.29776222,32.40717039,30.03608782,33.15327691
32.54869498,35.40719514,34.15412668,33.39556645,31.96146655,30.06481732,33.23984391
32.99973123,35.67047861,34.9981737,33.59705964,32.1190649,30.21821013,32.99498463
