Andhra.Pradesh,Assam,Bihar,Haryana,Karnataka,Punjab,Uttar.Pradesh,West.Bengal,Orissa,Tamil.Nadu
638.33184,1784.36088,751.9174272,504.52416,681.8688,589.95648,721.51776,1010.784787,881.1072,541.99584
595.01952,1348.84345,956.7897984,650.7256608,728.575776,539.01504,1061.775734,1133.67911,1124.873395,375.18336
454.88736,1601.956483,964.930752,430.66944,716.17824,429.86592,878.4481536,1456.357104,960.6370176,349.4448
580.24512,1537.224221,1138.96057,416.12832,709.92288,343.656,1014.117754,1318.405075,1128.104496,294.80544
716.0994432,1851.813533,1199.355206,499.72032,731.84256,560.25216,1015.455744,1462.75753,1164.400445,335.87136
448.96896,1466.006947,1372.050922,618.0777792,716.97312,550.0695744,1033.040131,1639.874678,1204.90969,438.54912
389.56032,1325.237242,806.728896,518.10624,567.07776,404.71488,740.30976,1033.97688,1026.992909,391.06368
540.44928,1779.450854,1178.769024,508.767264,767.5344,587.3038272,1027.536278,1408.58473,915.7161024,457.60896
513.50976,1890.35735,1212.768029,375.39072,737.67456,310.96224,736.7450688,1282.265424,892.0543392,450.43776
719.35776,1473.020294,1200.061008,708.83424,934.6656096,557.496,998.0493408,1132.285478,1141.792762,506.52
634.9104,1537.925011,1131.081926,638.97984,597.9312,635.6016,913.6515744,1228.539744,1125.523987,378.80352
500.7312,1630.355818,1095.219101,717.62112,703.78848,644.34528,837.7748352,1417.273805,1146.834893,405.50112
833.69088,1546.333114,1267.156224,697.95648,834.64128,641.39904,962.334864,1563.317626,1045.700064,382.34592
492.7824,1474.294003,852.71184,271.86624,769.89312,325.512,640.3536,1115.210419,880.6015872,451.70784
613.75968,1428.99215,1130.54616,527.9916096,753.54624,653.059584,1182.634128,1254.685853,1191.187123,285.67296
704.05632,1559.770214,1167.528902,428.68224,827.99712,440.79336,961.8494688,1238.455526,937.938528,535.06656
556.17408,1513.509754,829.80288,522.288,662.80032,414.99648,873.723456,1096.77361,1026.192758,266.4576
871.1826048,1704.940186,955.6822368,582.35328,909.38592,503.60832,816.772032,1233.829757,1037.681626,494.11296
464.50368,1731.181334,1325.799101,537.83136,654.63552,705.278016,770.10048,1885.695034,1193.03833,412.84512
506.77056,1597.58231,1144.079078,608.4752832,546.21216,605.8980576,909.2533824,1161.600134,1095.176592,510.26112
573.58368,1318.210157,924.4375776,349.41024,665.1072,455.88096,757.27008,1236.893155,1134.407635,347.47488
445.36608,1764.580378,1442.192256,202.24512,547.26624,205.10496,641.64096,1330.181568,803.6780256,320.77728
804.8455488,1980.741946,1110.631306,754.4103264,965.6554752,870.405696,1004.70456,1429.637299,996.0224832,688.14144
786.2144256,1917.578189,1039.752547,477.55872,718.77888,684.9798048,890.0086464,1264.718707,1169.511955,467.88192
586.40544,1620.290995,1146.281155,604.0656,514.50336,652.00896,1089.106906,1436.22936,1218.618346,297.88128
683.32032,1713.000096,908.677872,386.2512,790.94016,363.8736,873.6369696,1348.502256,1125.93577,386.39808
567.44928,1547.90879,540.74304,403.4016,811.49472,465.86016,658.3821696,1125.55777,958.0151232,355.80384
540.31968,1924.629725,627.28128,537.30432,660.43296,390.41568,790.376832,1314.386957,983.2218048,304.33536
546.49728,1267.044509,821.68128,605.0759616,785.1995712,451.04256,1000.045267,1052.383104,1130.834736,271.17504
694.1808,1906.632,778.70592,656.3072736,743.66208,655.9121664,853.5778272,1324.149293,843.880464,442.63584
683.3808,1329.011453,671.94144,617.12064,803.92608,631.4045472,850.7497824,1178.687462,765.39168,369.77472
530.95392,1452.46824,939.7137888,441.5904,786.40416,560.83104,739.12608,1285.66224,1028.945549,349.6176
655.27488,1700.193974,953.5497984,544.95936,861.8832,444.85632,933.099696,1173.939869,912.5030592,438.25536
471.5712,1524.424234,1197.157277,325.95264,579.58848,429.38208,1006.406035,1577.884493,1040.47416,288.38592
798.2252352,1579.329878,798.12,431.70624,751.99104,411.63552,850.0705056,964.55664,748.94976,571.022784
568.41696,1490.909414,1076.719478,412.43904,575.8992,449.0601984,690.09408,1142.247398,1028.936736,373.6368
459.62208,1568.524954,1037.292221,305.9424,502.01856,415.09152,642.2544,1364.982278,964.4971968,257.120352
541.6416,1647.559526,1106.938397,688.341888,497.7072,515.14272,848.7922176,1237.89505,1058.136307,449.07264
541.58112,1279.322035,1079.758339,280.8,653.43456,265.93056,647.7408,1139.791565,941.453712,640.512576
716.6448,1259.372189,821.0386368,444.96864,953.6266944,432.88128,635.70528,1094.073264,1033.349184,298.95264
649.95264,1181.875536,991.0959552,556.5690144,809.31744,745.0187328,657.549792,1352.224022,1294.328333,298.0368
749.77056,1639.150819,1130.137229,430.46208,1062.087552,377.04096,624.12768,1601.049974,1133.278214,500.03136
754.3476,1570.53937,1080.653789,607.9519584,803.06208,772.017696,967.3476192,1354.678646,1262.418221,575.164368
586.97568,1445.057453,876.3666048,396.78336,850.7513376,304.48224,534.816,1177.147296,943.2964512,412.55136
903.7100448,1688.383872,957.9249216,664.93224,888.0624,523.42848,558.25632,1254.656909,1091.435126,676.782432
564.54624,1421.416253,1309.975286,573.44544,777.5568,692.97984,1145.751782,1419.029194,1105.259299,340.05312
636.96672,1768.618022,1191.525552,617.9798016,558.42048,541.610496,1102.77072,1167.992266,1160.308282,287.16768
