Andhra.Pradesh,Assam,Bihar,Haryana,Karnataka,Punjab,Uttar.Pradesh,West.Bengal,Orissa,Tamil.Nadu
33.12851321,29.96996078,33.82533402,35.72669682,29.86092404,36.39550313,35.41421661,32.22587831,31.6789991,32.04680941
32.52068281,30.48710438,33.7026378,35.44885324,29.19106493,36.47399312,34.72948114,32.35012541,31.66740032,31.65703596
33.00195446,30.39187948,33.24209648,36.62554338,29.45134895,37.3658303,35.10738509,31.72294137,31.50615948,31.87556074
32.86575968,30.35061196,33.36903806,36.3460908,29.57290317,37.13014794,34.93125323,31.9880557,31.34576273,32.26998518
32.10102095,30.30807053,33.02596984,35.59137627,29.02716519,36.5891775,34.4792152,31.80397365,30.85607554,31.82968353
32.48377324,30.25296802,31.90802589,34.5116005,29.10790642,35.76197185,33.07420111,30.9527477,30.39445484,31.46732076
34.03097266,30.61867193,34.00822486,36.46315259,30.35453447,37.04277336,35.71050395,32.6957414,32.10633116,32.72476014
32.87811886,30.73834076,32.85631301,35.86250449,29.27432583,36.7053049,34.63783323,31.53002316,31.12406335,31.9930934
33.03981331,29.69982497,33.22845688,36.38844315,29.46739921,36.9113162,34.90842828,31.93070268,31.75554641,32.07273903
32.26996064,30.2764058,32.69648208,34.27890721,28.80590575,35.20711663,33.6661485,31.65180508,30.86498897,31.56962113
32.60488655,30.25920877,33.11762156,34.85169548,29.64577065,35.51841652,34.26328576,32.27274305,31.6013328,32.46652506
33.03328801,30.29252548,33.08804421,34.37921439,29.69303314,35.31998983,33.93835453,32.04417059,31.40851937,32.50729768
32.22256136,30.59211951,32.74153548,34.80902011,28.67206519,35.82762888,33.94387645,31.76630638,31.0188747,31.69455773
33.46283506,30.67336733,34.36205509,36.37923057,29.53157686,36.65411106,35.53950152,33.41949288,32.49758572,31.97229107
32.67492074,30.71966134,33.14105581,35.75972691,29.46258655,36.50055464,34.00000215,32.27372834,31.16017988,32.44430109
32.7504689,30.77446358,33.30229025,36.01717522,29.23841107,36.33250957,34.68590267,32.28832164,31.53661267,31.9611769
33.12130001,30.5080979,34.36065305,36.49440249,29.69051994,36.9976417,35.39716209,33.02895493,31.99069413,32.72311727
33.1503853,30.59964761,34.2272836,35.49040982,29.83388819,36.24966252,34.88294935,32.97825265,31.87156009,32.69879013
32.89979775,30.24068802,32.5862878,35.41504036,29.42668678,35.89092303,34.13230974,31.57756584,30.885704,32.35578333
32.77071385,30.18666391,33.08208647,35.52887748,29.58200119,36.20000536,34.36718525,32.00572611,31.27400797,32.24611718
33.31878216,30.55589903,33.36734804,35.51437959,29.90829424,35.60484491,34.56254357,32.35235085,31.44465854,32.62105552
33.97081115,29.9588304,33.77666269,37.49400361,30.62137303,37.33185575,36.25645599,32.65899466,32.50883552,33.49483018
33.14422599,30.60195273,33.15257173,35.15078978,29.88744388,35.68529166,34.27411148,32.24761143,31.49633318,32.61044519
32.72292556,30.34021093,33.29049493,35.75765377,29.51959084,35.67512209,34.77326743,32.06912873,31.4147433,32.38092156
32.57899078,30.48931929,33.18125445,35.17092399,29.53162409,35.77592324,33.97064737,32.33926452,31.15862718,32.75023781
32.79689706,30.04901356,33.1009847,36.10366323,29.52754903,36.55166902,34.70248881,32.26446219,31.45929498,32.42018373
33.12959195,30.60575823,33.47115612,35.41107839,29.74579061,35.68850795,34.587772,32.35642938,31.54847929,32.66966665
33.30236213,30.10347106,33.47528985,35.3776776,29.92744446,36.06243106,34.75603133,32.02947917,31.61165103,33.08100266
32.69524283,31.3106385,33.59545482,34.86055656,29.5787729,35.5022352,34.32435755,32.38748651,31.11792961,32.85600832
33.45126497,30.18246022,33.74197938,35.74986816,30.21262513,36.12640764,35.18192144,32.46798763,31.84613361,32.9338766
33.07256266,30.4372822,32.94747118,35.27169159,29.79112155,35.21508267,34.71948012,32.11307342,31.41012853,32.21506163
33.66328127,30.36299508,33.62862629,35.04992735,30.28079704,35.80093666,34.54547875,32.47493601,32.1488232,33.30269296
33.72474629,30.26635907,34.02333391,35.43461948,30.29673797,36.16622576,34.81803892,32.94145628,32.2434711,32.98430173
32.79524244,30.50765442,33.17051511,35.91734437,29.58895014,36.46811446,34.58956774,32.10640638,31.42662807,32.68454392
32.4824001,30.21975731,33.15539155,35.12958302,29.29493222,35.78945298,34.3392273,32.25735651,31.5839047,32.23322096
33.19143007,31.09443215,33.45279099,35.361355,29.86413704,35.73911094,34.81911462,32.24697484,31.59132485,32.61337725
33.31314096,30.37719176,33.6343016,35.79205384,30.12154777,35.99798241,35.2697216,32.04610525,31.80267291,33.03553225
33.57372994,30.75952692,33.88329207,35.10743838,30.3694734,35.24083081,35.10232657,32.65184832,31.98445275,33.12151843
32.98735495,30.66717165,33.79379429,35.7306576,29.62540863,35.50815189,35.09593594,32.37181669,31.17893811,32.56554989
33.47190592,31.20461751,34.01404795,36.017559,29.97222468,36.38399306,35.41059461,32.91430587,31.97559921,32.71992204
33.39656749,31.24350396,33.52361571,35.26818745,30.07461966,35.53762799,34.55166674,32.38243855,31.56546137,32.90344685
33.20049422,30.74943718,33.9616118,35.82637382,29.88747404,36.05552823,34.98894561,32.59216789,31.90365455,32.49450896
33.19778069,30.68532175,32.93796378,34.57187546,29.81202267,34.94331078,33.64492241,32.05001837,31.18840636,32.61971332
33.92515253,31.66297907,34.32991774,36.38775234,30.10464789,36.6580357,35.52669266,33.09646225,32.35300577,32.98672255
