year,Madhya_Pradesh,Maharashtra,Rajasthan,India
1966,746.3395877,828.3775114,378.1069419,650.941347
1967,991.6758002,934.7772797,520.5946002,815.68256
1968,921.9029813,816.1312778,282.60816,673.547473
1969,1148.588084,1046.295147,335.7330227,843.5387512
1970,1116.598796,1134.531561,495.2311982,915.4538517
1971,1102.347699,838.7039257,543.8461832,828.2992693
1972,776.3147397,570.193894,328.9164099,558.4750145
1973,1289.11553,1110.235509,550.5399416,983.2969935
1974,931.9456568,867.4138465,398.1212226,732.4935753
1975,1097.500982,1239.807089,723.7433572,1020.350476
1976,1039.684619,972.1187435,493.3240613,835.0424746
1977,1098.977362,937.9807112,616.6564652,884.5381795
1978,1033.360349,940.3056917,590.0875462,854.584529
1979,852.6281725,1020.839482,350.2357195,741.234458
1980,956.902641,910.0400258,334.1866889,733.7097852
1981,944.6654912,1103.202257,413.3094996,820.3924159
1982,995.4017349,806.2052485,473.8087031,758.4718955
1983,1104.261339,1235.832361,546.7623975,962.2853658
1984,793.0752778,823.6084807,374.6648682,663.7828756
1985,954.3366467,903.4637283,360.2589759,739.353117
1986,838.5776755,793.2193996,369.6072495,667.1347749
1987,753.2241525,846.8938253,187.7585819,595.9588532
1988,971.3405759,1209.753417,469.1362678,883.4100869
1989,749.1769752,869.7260014,366.7275592,661.8768453
1990,1255.845098,1110.427207,462.1269105,942.7997385
1991,932.6835112,890.3182743,286.6914267,703.2310707
1992,825.4788224,891.6205443,398.9368667,705.3454111
1993,942.7162242,1006.111458,428.9426718,792.590118
1994,1295.815088,1221.773929,600.3420233,1039.310347
1995,941.3569729,970.8230934,506.8357664,806.3386109
1996,955.3750505,994.1772134,551.8041093,833.7854577
1997,873.5254616,926.2940618,455.5852744,751.8015993
1998,970.3477662,1034.456917,442.1927659,815.6658164
1999,1114.428725,896.3574932,312.2988454,774.3616879
2000,808.5312347,859.1753178,344.0481676,670.5849067
2001,824.2697508,765.0557814,453.4314741,680.9190021
2002,714.2272673,726.5477168,167.5560772,536.1103538
2003,969.0153171,833.6355386,496.1638521,766.2715693
2004,882.1153347,928.9298579,352.9563594,721.3338507
2005,877.3017154,1244.033655,397.1605754,839.4986486
2006,1000.573544,1276.983775,454.1307621,910.5626937
2007,820.04308,1105.962041,411.9760097,779.3270436
2008,941.8118996,975.5227858,419.399211,778.9112988
2009,834.206904,1079.657795,335.5276874,749.7974621
2010,899.045776,1487.142431,584.5158991,990.234702
2011,1112.275302,1080.249758,503.6558929,898.7269843
2012,1000.761054,929.7352257,473.415193,801.3038242
