year,Madhya_Pradesh,Maharashtra,Rajasthan
1966,134.2487626,140.4859601,154.0033904
1967,110.9638863,121.3447102,146.8167582
1968,128.1802016,124.5387161,165.3415402
1969,119.6233731,122.6837478,164.1669357
1970,117.8978919,111.2512055,155.8327414
1971,92.84702108,105.6116101,148.311269
1972,124.9470211,129.2744635,166.2597675
1973,104.0707608,98.51942896,151.2230384
1974,123.9501375,116.3776118,162.3409752
1975,96.50944088,95.66266428,141.1488537
1976,124.51989,124.5303016,155.9490636
1977,119.0659028,123.326274,157.4761059
1978,121.1230064,116.0519996,158.273329
1979,137.0087076,134.3291103,156.066516
1980,125.08011,127.2287983,159.6825154
1981,113.191659,114.1914532,150.1613658
1982,122.0653529,125.4034225,156.5121085
1983,113.2963336,115.9523494,154.5686148
1984,111.7858845,104.6904604,155.6878431
1985,108.0895509,119.0405597,157.2694543
1986,127.3849679,135.3150232,162.7012431
1987,154.3904675,153.2130094,173.7995641
1988,126.2612282,131.1959913,161.4423636
1989,139.468561,123.0334688,167.9307394
1990,111.8268561,113.8969462,157.5494834
1991,119.2000917,122.3486811,155.2776881
1992,108.1057745,119.4338659,148.6817081
1993,125.635747,121.2053512,163.115515
1994,96.84142988,96.16630424,149.3134485
1995,125.5617782,135.8093032,159.7016468
1996,122.5963336,118.0228798,151.5592509
1997,119.1020165,136.6389335,139.2784953
1998,136.5822182,139.4081498,156.4824831
1999,128.2669111,116.4141061,167.183484
2000,143.5912007,134.702184,163.9540685
2001,136.0461045,129.6795878,161.3574427
2002,133.5098992,123.560745,164.0375363
2003,132.7026581,125.8776591,157.5643365
2004,137.9663611,129.1841732,164.258153
2005,131.1747021,121.1932495,163.097433
2006,131.5142072,133.3501938,160.4711818
2007,138.9741522,138.9784438,168.6593478
2008,131.3202567,132.6551952,161.6904262
2009,141.5461962,145.362201,161.6893768
2010,149.5340972,145.6004538,164.9007911
2011,132.4427131,135.1087265,169.2566193
2012,120.1388634,131.408717,158.1083306
