Year,Uttar.Pradesh_Sep,Madhya.Pradesh_Sep,Rajasthan_Sep,Maharashtra_Sep,Gujarat_Sep,Bihar_Sep,Haryana_Sep,Punjab_Sep
1966,-0.491138687,-0.874103613,-0.033907072,-0.754701952,-0.382432029,-0.918124915,0.225636024,0.454371492
1967,0.663992745,0.361981725,0.546313399,0.023967812,0.322457377,-0.162113493,0.262282482,-0.018959873
1968,0.188675883,-0.064375078,-1.221465483,-0.543544158,-0.715776844,-0.103666022,-0.731463589,-0.57813686
1969,0.508048356,0.506696473,-0.439737069,0.329142385,-0.423809181,0.435769962,-0.328501079,-0.75432068
1970,0.557036095,0.719083334,0.483367981,0.771409887,0.85450003,0.552220989,0.196522756,0.369828881
1971,0.704656155,0.490983027,0.758032083,-0.436189799,0.265477364,1.096076547,0.563881292,0.276355671
1972,-0.421030767,-0.743289097,-0.401892958,-1.396960182,-0.876302275,-0.737407846,-0.02906554,-0.280423468
1973,0.619038316,0.938520553,0.600597135,0.304193772,0.371607882,0.576614092,-0.033418475,0.371452316
1974,-0.486909645,-0.318577004,-0.393704529,-0.663598945,-1.524747474,0.550872417,-0.795625683,-0.719240066
1975,0.592538197,0.556380791,1.257075253,0.782735332,0.447155843,0.254246586,0.78878132,0.354099995
1976,0.289505259,0.343974074,0.433644538,0.140809237,0.511883173,0.430591256,0.498416768,0.59391856
1977,-0.056417073,0.414873044,0.993780419,-0.219061796,0.557060462,0.10876839,0.804753077,0.687404475
1978,0.500243921,0.426183832,0.754253272,0.007199293,0.055549774,0.836551037,0.848461521,0.637429413
1979,-0.749079564,-0.472166789,-0.416677036,0.18655258,0.014988544,-0.659471272,-0.869818968,-0.641163963
1980,1.050483692,0.160936133,-0.288896224,0.136028117,0.281446808,0.38847589,-0.078166284,0.405808244
1981,0.410535923,0.072862921,-0.136020584,0.475234219,0.377597532,0.328914586,-0.1144618,-0.482968626
1982,0.163503652,0.094346005,-0.209997811,-0.593447334,-0.750189037,-0.524550707,-0.222454453,-0.565052556
1983,-0.068369098,0.453477959,0.478796307,0.806333261,0.759578675,-0.215240268,0.312392454,-0.030533258
1984,-0.139598892,-0.527637262,-0.317403342,-0.653354566,0.149468715,0.939882829,0.124656086,0.677289618
1985,0.206697489,-0.174241054,-0.445400605,-0.435231453,-0.523818447,0.276749953,0.204352092,0.339561521
1986,-0.210128711,-0.294917063,-0.334174592,-0.339649941,-0.708114246,-0.198642824,-0.452474611,-0.033722989
1987,-0.86616983,-0.801615206,-1.358288535,-0.666101678,-1.531870978,1.141133712,-1.387653342,-1.352634103
1988,0.488624123,0.181872869,0.359026674,0.632090146,0.185840427,0.354309493,0.887835418,1.04423367
1989,0.132725818,-0.555500205,-0.343105511,-0.042517188,0.004783957,0.062965711,-0.171908413,0.467286949
1990,0.829555952,1.142978508,0.258573573,0.466645578,0.126008292,0.357420381,0.374412369,0.436020952
1991,0.084696416,-0.052461674,-0.822262846,-0.011100384,-0.74441678,-0.247875086,-0.600334489,-0.486226591
1992,-0.699262924,-0.556591497,-0.464602959,-0.230287848,-0.075218902,-1.897176059,-0.498288167,-0.126854074
1993,-0.141667399,0.009017965,0.0862748,-0.122594418,-0.348168482,-1.432906895,0.294259623,-0.553403942
1994,0.466824337,1.174084852,0.8650664,0.799666212,0.770641609,-0.538234097,0.21464194,-0.104820936
1995,0.104761062,0.018713618,0.054232267,-0.208475656,-0.816206963,-0.80201885,0.214051787,0.315374032
1996,0.124615961,-0.034190552,0.777477995,-0.167839805,0.239678856,-1.152839637,0.689383937,0.538629962
1997,-0.250148371,-0.456049641,0.214520302,-0.096112436,0.276056395,-0.292408147,0.006306252,0.314543981
1998,0.38697097,-0.02204072,0.162223996,0.021343741,0.567730887,-0.164191608,0.346243413,-0.218509442
1999,0.554919444,0.355189347,-0.496583237,-0.431285588,-0.478684551,0.614075446,-0.522624693,-0.155469372
2000,0.068627858,-0.524869298,-0.63851571,-0.119390872,-0.487286805,-0.616786538,-0.233359161,-0.301905184
2001,-0.503408611,-0.724970345,0.039099843,-0.760976673,-0.288088341,0.215686723,-0.199267,-0.309954525
2002,-0.773199753,-1.009632362,-1.591675716,-0.867266751,-0.884275485,-0.028714548,-0.828685949,-0.254838366
2003,-0.031394085,0.168587569,0.375316392,-0.281357782,0.404029875,0.264399212,0.602671468,0.217103392
2004,-0.669707493,-0.133329964,-0.47055456,0.013103374,0.212989236,0.226061707,-1.182337693,-1.075144776
2005,-0.76805881,-0.185802311,-0.132736571,0.856763089,0.82834728,-0.556701829,-0.116067363,-0.151999452
2006,-0.961431537,0.259373989,0.337912529,0.904632548,0.743889428,-0.112641512,0.292829141,0.79198654
2007,-0.719748266,-0.282821534,0.181056087,0.764766344,0.789016149,0.359588165,0.00562954,-0.312878015
2008,0.422063222,0.064482621,0.155822896,0.160916017,0.231933134,0.299316004,0.56114541,0.973553265
2009,-1.432372315,-0.789376501,-0.614432809,-0.086122701,0.010026932,-0.539016001,-0.607719745,-1.063336744
2010,-1.285469414,-0.264160266,0.581692463,1.364956006,1.146354565,-0.133733659,0.27730097,-0.018057929
2011,1.024856784,0.753010993,0.377800107,0.469878861,0.277229132,0.911500213,0.430976378,0.749350056
2012,0.498224492,0.1628955,0.008750773,-0.1833614,-0.493303742,0.501597358,-0.338467472,-0.56029621
