year,Sumatra,Java,West Nusa Tenggara,Kalimatan,South Sulawesi
1966_67,181.8035277,208.8891368,252.8761125,189.3015012,212.0934395
1967_68,186.4899149,191.1443964,237.9663883,174.962788,207.5061955
1969,196.1562577,203.2930205,234.1127808,184.516524,206.7525879
1970,185.6629748,198.0406665,233.0629101,174.6950663,204.4090564
1971,182.8274855,190.8070381,241.3637157,183.9780262,225.2000731
1972,192.70271,201.7840537,253.5254161,193.721198,227.4881193
1973,196.6300017,220.7556934,277.3523679,193.024208,232.4276222
1974,191.0690187,192.8037826,207.9795642,172.2917799,194.944247
1975,196.5983645,220.9988681,229.7190061,193.5237639,206.076062
1976,193.943985,208.9941254,223.6879402,180.4495622,210.0692621
1977,190.5644246,204.5729037,220.1236768,177.7434893,214.5614077
1978,197.6537111,213.2282617,220.2404512,188.2735282,221.7139388
1979,186.5482404,202.5816176,231.3796731,182.6566457,205.986626
1980,190.9217113,193.3048107,221.3302064,182.1448662,199.8401062
1981,186.3737645,210.6069841,220.2537009,183.1200222,186.6709849
1982,187.3807716,182.2469494,203.1896332,170.9313615,186.2000627
1983,199.5250849,230.3563324,257.0389795,197.8593414,233.4753935
1984,185.8221178,191.5828952,216.1754029,170.4391226,194.8032447
1985,191.7435998,199.953053,236.1126631,183.8728517,208.6075277
1986,189.1528977,197.5081355,231.2810524,180.2417826,200.6917625
1987,199.375119,206.4273215,243.3814966,182.7794431,208.2346507
1988,193.8828628,209.9329089,249.6415006,188.8748466,209.5105604
1989,180.9269265,195.0343386,228.2418417,175.9591702,200.0373407
1990,195.0096717,212.5626188,248.2305735,190.5085147,214.6260708
1991,191.5326703,204.3421558,223.4468113,182.9054145,207.0493198
1992,194.3067589,211.5706252,245.7228676,192.5585187,225.0671874
1993,193.9074917,206.231139,245.2362209,190.2792456,215.377639
1994,186.0448389,200.0771764,240.5112689,185.9292144,213.3857985
1995,188.1645851,213.8223258,237.2008721,183.5035053,217.5929291
1996,180.6720579,185.8791868,221.6711977,174.8741998,196.1206193
1997,191.049102,194.7438868,212.6502463,180.3407018,193.030477
1998,203.5536159,222.9645995,252.3881786,202.8893702,228.9326999
1999,177.3915535,189.5515044,210.8334589,177.2627558,189.8203121
2000,181.0909012,190.2900107,212.6749088,176.4087366,194.8698106
2001,175.8490633,190.76059,228.6420362,173.2885748,198.5703381
2002,180.4089384,189.9819732,221.0817443,174.3934999,192.5123973
2003,183.1066944,204.5558638,230.0229138,181.352704,211.5158593
2004,179.4318475,193.0494524,234.1398798,173.2580582,202.8113538
2005,187.5270688,206.7812734,258.9396812,181.1617223,217.7377733
2006,175.2329554,189.9275471,219.4160472,170.4370993,197.9284742
2007,183.5615644,216.9590203,248.3600024,183.0967673,221.6163365
2008,182.0773824,200.9611964,222.5610148,173.6442968,198.1249091
2009,182.0082421,191.2846294,217.83926,177.0822255,199.998396
2010,180.5486994,193.1665862,229.6549938,178.4119212,192.1925454
2011,181.4142144,191.2983039,214.0774492,171.9568135,182.8552094
2011_12,179.5982434,191.0560573,221.9293807,172.4049424,185.8000976
