year,Southern.Federal.District,Volga,Central.Federal.Distroct,Ukraine
1966,222.6096,151.51104,194.67648,203.9904
1967,191.598048,123.32304,177.768,201.32928
1968,139.43232,178.17408,148.16736,115.936704
1969,157.067424,173.24928,179.913312,197.93376
1970,197.28576,184.04928,198.8928,243.74304
1971,149.36832,154.01232,154.06848,183.75552
1972,138.1752,150.45264,167.297184,161.63712
1973,226.27296,120.349152,179.28864,207.25632
1974,176.302656,190.622592,198.351936,194.0112
1975,137.34144,102.472992,145.85184,189.785376
1976,151.302816,156.485088,231.26688,175.15008
1977,231.15456,164.4624,187.97616,229.436064
1978,215.374464,204.66432,219.87936,230.2128
1979,122.64912,128.564928,128.786112,164.880576
1980,207.20448,166.577472,225.014112,273.43008
1981,181.224,143.00928,155.371392,185.64768
1982,192.29184,177.293664,198.886752,189.974592
1983,180.69696,194.14944,199.6272,199.14336
1984,153.228672,137.620512,160.446528,197.41536
1985,179.220384,174.807072,197.222688,209.7792
1986,104.753088,133.792992,172.6056,135.139968
1987,191.77344,116.768736,210.765888,202.53024
1988,214.97184,155.3904,198.60768,250.56
1989,197.425728,162.54432,217.6416,204.941664
1990,209.39904,237.99744,208.05984,198.450432
1991,188.725248,138.23136,210.411648,205.965504
1992,191.19888,133.770528,142.75008,209.44224
1993,221.462208,176.747616,170.938944,200.13696
1994,175.68576,203.52384,230.4288,185.5872
1995,186.9696,138.79296,202.1328,223.75008
1996,158.995008,142.209216,164.46672,165.167424
1997,200.62944,242.15328,218.68704,235.3104
1998,189.92448,146.1456,217.296,215.71488
1999,143.90784,132.471936,127.75968,162.41472
2000,217.31328,208.60416,205.86528,182.1312
2001,253.74816,208.21536,220.25952,277.84512
2002,203.49792,170.82144,127.885824,191.58336
2003,118.814688,182.949408,185.25024,124.393536
2004,225.95328,193.26816,217.13184,177.12864
2005,228.07872,219.93984,238.81824,206.86752
2006,190.21824,199.22112,193.09536,253.55808
2007,142.464096,199.168416,137.6784,142.126272
2008,225.56448,182.55456,221.0976,218.3328
2009,192.82752,138.22272,182.2176,181.47456
2010,211.39488,110.4192,164.91168,203.09184
2011,217.52064,190.24416,155.399904,180.376416
2012,166.5792,183.73824,246.26592,174.75264
