year,Southern.Federal.District,Volga,Central.Federal.Distroct,Ukraine
1966,20.87496717,17.45196846,17.45243426,18.75897027
1967,20.17004715,17.71855683,17.53759011,18.9163979
1968,20.13505797,16.09425337,16.32302265,18.53462727
1969,19.74604162,14.40853409,15.2327328,17.84872267
1970,19.80949284,16.07219636,16.41849651,18.14371971
1971,20.33004617,15.90782871,16.37585495,18.50539089
1972,22.36747565,17.85743256,19.028824,20.01247985
1973,19.1421761,16.44525146,16.45302767,17.70765325
1974,19.34974632,16.77314744,15.57240776,17.20906032
1975,21.8507899,17.57199538,17.5959568,19.92938382
1976,18.90063511,15.84620663,14.33907195,16.43401964
1977,20.08454812,17.7446212,16.7517398,17.77499526
1978,18.16304986,14.73620526,14.62524335,16.55230359
1979,21.09926724,16.82350496,17.3404959,19.15715037
1980,19.79633497,15.68069347,15.01172813,16.79694545
1981,20.74235979,18.5795464,18.35768427,19.12810029
1982,19.07877265,16.11377981,15.51069873,17.71173514
1983,19.98003254,16.14333336,16.43699801,18.58208325
1984,20.22024699,17.55783334,16.66160472,17.66397734
1985,20.23779641,16.30457585,16.57901512,18.40214926
1986,20.55686132,15.49121311,16.93301615,18.91018879
1987,19.90609719,17.70074899,16.14940471,17.65601004
1988,20.46206889,18.64384762,18.10711416,18.80531966
1989,20.09570517,17.97805976,17.50409426,18.44437229
1990,19.06359506,15.79252614,15.001537,17.50924811
1991,20.56118216,17.81563424,16.91179434,18.33772366
1992,18.94608507,15.21154622,16.36986631,18.80794374
1993,19.03805364,16.4101571,15.65968849,17.62839338
1994,18.82871356,15.04351782,15.06137305,18.08967842
1995,20.67935692,17.94226302,17.29417101,19.05066393
1996,21.04290739,17.44303061,17.19997556,19.25634931
1997,20.22280446,16.33333024,16.47563822,18.38435765
1998,21.49255732,18.58583858,17.41944479,18.94721971
1999,20.56588313,16.54875556,17.26179118,19.49976388
2000,19.97362091,16.67933921,16.13344847,18.60850358
2001,20.60416044,16.76375009,17.10254233,19.20476641
2002,20.07786065,15.57905629,17.29482817,19.8938893
2003,20.02414161,16.88301015,16.75648786,19.40877981
2004,20.12746058,17.56931647,16.26896868,17.90380468
2005,20.78564208,17.67667625,17.15152916,18.93156864
2006,21.13334954,17.34916671,16.9234678,18.91891143
2007,22.03491621,17.9994957,18.0860849,20.7773259
2008,20.54990453,17.12707029,16.23351914,18.96441668
2009,20.43850245,17.15270631,16.69639294,19.29060003
2010,23.50886191,20.30722835,20.06132594,21.21817
2011,21.71528651,17.93441809,18.59635338,19.86734622
2012,22.78164286,19.20188468,18.13449294,21.07171503
