year,Illinois,Iowa,Minnesota,Nebraska,South_Dakota,North_Dakota,Kansas,Missouri,Indiana,Ohio,Arkansas
1966,47.16795825,30.46341848,15.5969257,47.35568142,44.79562769,18.74598256,71.56000909,52.22828718,47.06350401,35.49421228,80.75192519
1967,21.45642891,15.49858089,4.626530031,33.16136863,34.04206691,24.4382461,49.84637221,36.11306802,24.2939257,18.2038454,70.05207187
1968,41.64036059,28.7414065,6.32204194,50.26517165,28.45125318,7.714646465,76.64176224,55.95496102,37.76430722,24.35962331,87.77777778
1969,38.04428278,22.96641438,14.02362653,49.31499248,43.65695042,23.58184114,70.30316794,62.59128798,36.06651607,24.37708456,99.17950128
1970,39.25415151,31.71680858,20.53951987,69.08519246,61.3805896,31.83895776,89.84342001,66.29887066,37.70130522,28.91956053,104.8727539
1971,48.60098054,35.28145695,10.78280672,53.55981967,45.72231424,17.5414371,84.92278869,67.25732723,34.63353413,22.29468315,91.72387239
1972,34.77653012,21.08183538,5.796660024,41.07259277,28.11118472,11.38911846,72.73396162,68.5077978,25.12098393,13.0541495,105.3940227
1973,42.1279456,28.10501419,12.11718379,54.91365161,49.8460859,24.46418733,79.37061429,64.19225598,35.36571286,26.97390622,93.70352037
1974,33.45563815,30.67218544,15.52936712,52.97156398,46.88473004,22.18503214,70.14068354,49.60352246,28.89784136,20.19423191,72.01906858
1975,41.0458643,36.98344372,16.575102,56.68546989,47.15777852,16.76859504,81.05450211,68.47149771,36.39608434,25.62978222,86.80454712
1976,41.59702673,43.97934405,29.88756049,59.64246907,66.40620515,36.11019284,82.57692745,60.05687013,30.7748494,17.19344713,74.0485882
1977,49.08967262,36.20261748,12.11433722,50.81967403,37.76051673,14.28696051,88.9252867,69.48090885,48.17018073,26.68275456,117.563073
1978,46.4531077,35.28177231,12.53126483,61.37267368,43.7480402,21.05624426,91.2384467,74.097338,39.94804216,21.48185207,104.3047305
1979,37.67357267,20.11652476,5.01508682,44.42203213,32.60980457,15.10445363,78.78244579,51.79819844,20.73519076,9.03629586,74.46919692
1980,59.03621698,46.6777042,15.37337508,73.36400416,56.1147179,23.37924701,103.0059044,91.10271578,53.32429719,27.37688837,111.8745875
1981,27.26648743,17.92667928,5.502324699,45.90197665,40.06448051,19.72222222,80.97922107,52.3876042,24.16365462,15.62938984,91.13531354
1982,26.21619484,17.70529801,9.024670272,39.61819442,35.48492879,17.63831497,69.29521972,45.76956171,22.46661647,18.85187365,91.15089842
