year,Kansas,North.Dakota,Idaho,Washington,Montana,Oklahoma,South.Dakota,Minnesota,Nebraska,Texas
1966_67,234.6736674,211.4583678,368.5893582,897.958254,248.8342414,373.4206412,196.4363244,290.9324794,192.1931223,248.1686077
1967_68,266.882692,196.5554241,331.7555757,866.7698484,207.5782857,558.9073534,195.094179,291.1977244,207.0316062,497.9249456
1968_69,440.2215267,188.2542343,388.361231,877.3318094,211.8715514,589.2534908,214.4406525,386.4140417,279.1950972,458.5579477
1969_70,322.6168729,269.2121894,366.4447657,736.2461294,251.7407287,431.9542076,241.8998233,349.1237872,263.0079067,473.4231627
1970_71,296.1939354,203.8475429,427.5698216,934.969597,236.0005933,360.2239566,267.482687,390.4003403,322.3689624,225.6836073
72,375.8007216,294.0538674,401.6500481,988.4618154,258.8769081,456.6971799,344.7391685,421.4916252,301.4766396,399.3769666
73,550.0187917,166.1969808,288.397652,599.3503887,177.1759807,769.7696763,262.1737766,294.3730227,374.1345395,481.4344587
74,402.1846137,270.2663217,449.4988552,1134.321366,266.6220598,538.2118606,230.7871144,351.4123914,262.3768804,376.9506284
75,411.226047,258.1527088,399.3216578,850.5599751,282.3154218,680.763918,222.2537484,342.790198,238.1287595,493.0430249
76,347.62874,189.3852714,396.8933291,999.9179229,240.0175481,454.1697138,175.8113365,253.5063911,283.1513496,344.8537556
77,347.5300783,163.9332295,179.9312388,457.7231781,163.3897049,488.1211685,239.6536823,293.1583635,340.2928216,476.8695046
78,340.6080268,248.7426415,438.5384816,850.0668998,310.301131,458.0583176,302.0388969,346.5439414,319.892682,319.1768096
79,363.1112396,208.279281,286.3272492,571.9162081,212.7683823,500.464696,177.175963,324.9879481,282.2576218,484.7225462
80,423.5362091,100.6799847,410.8731138,856.7927932,216.5688717,505.8238654,133.8744595,234.9863244,277.9026738,363.5960353
81,357.0635851,162.4022145,368.7456839,813.4548586,258.3824186,401.9696898,172.3437779,240.6312449,246.6742805,399.7194241
82,434.7691266,248.7911381,467.6149949,967.1645378,280.2735326,696.9329153,306.9496735,358.119556,355.5554495,466.2716324
83,429.8983549,259.7967624,423.4795234,951.6519206,192.1839443,580.4508516,285.6321071,375.5229996,384.4217083,455.8746812
84,492.9034574,198.6135111,433.4536328,925.9780289,192.5230609,564.1219808,267.4197092,342.4755981,392.9094916,338.7603386
85,465.2786652,237.3820815,286.7358908,675.5070318,177.9161159,764.279623,213.6101129,446.0516259,308.7577159,553.1646927
86,334.0315194,278.5470042,387.4101914,809.7512567,248.2226036,584.3143123,342.8580642,363.3444624,305.9664774,423.8440139
87,509.2745862,199.7522152,266.6279021,751.6418555,199.1071247,703.1130233,233.356807,230.279561,374.0811134,592.489723
88,315.6410745,104.8447179,275.9335319,719.2934984,152.1200817,530.7124875,181.8267963,215.6718014,267.8121383,316.3550755
89,236.3932667,210.9479797,347.4110476,803.0674868,250.2704031,501.2233748,178.3503261,287.9822555,138.7738065,373.0808082
90,377.5701483,145.1678596,327.6220775,871.1581472,243.0519613,674.1853665,208.8590812,269.0832045,238.9996763,437.3218145
91,314.0986591,190.4861903,326.6872574,976.0346032,235.0756915,475.0244814,291.0203913,367.7793998,316.8005657,467.4750678
92,340.3895411,166.3735323,245.3226619,689.0734857,167.0935922,602.4885117,173.7392019,288.9553855,271.9488939,632.4239349
93,525.6974886,180.2315991,390.9075793,704.7739184,226.4086232,739.496336,239.7686756,318.7033585,315.7284241,460.5364996
94,267.125297,173.9866149,248.3394612,619.9593012,198.888251,496.3300589,179.1472667,256.7667607,196.3098021,424.606706
95,510.0478018,324.5463835,445.9312475,930.6313434,263.8161548,674.8231654,370.9438434,334.4329342,417.6204828,489.4760573
96,250.0096464,234.4514043,479.3800439,1117.653827,274.651965,269.4323189,294.1889734,322.9959765,276.9229661,217.8014504
97,354.6319753,211.4067487,495.9119463,1159.217823,246.640956,570.1333347,281.6794848,362.8079895,232.8766953,521.0595472
98,391.5245134,206.3102392,404.0564974,878.682792,190.2959534,610.2108773,218.3952848,325.2037854,294.7590334,403.6052679
99,567.937584,350.5921475,405.5960707,1056.365817,252.7808195,753.2582318,355.1958137,425.6303625,360.8923822,498.3242293
1999_2000,327.5434423,175.5028622,353.1742146,874.7673112,186.8873,499.0651101,212.0258306,254.6866153,207.1725632,299.3702883
2000_01,459.9589632,235.9703163,268.0024992,542.2601694,153.5364386,706.1092928,286.7141758,455.3575771,362.5899548,539.8953445
2001_2002,272.789791,130.1953391,344.7415525,931.5922671,166.4757639,503.7050904,157.2106989,290.2411698,196.7714475,378.3675257
2003,395.6289999,207.3898069,360.4457855,801.7865592,209.1779838,457.6506851,213.7702877,266.8966779,288.0472306,411.2035508
2004,334.9731666,239.3117359,345.755494,802.2733669,198.3206285,452.1722415,209.5288943,334.3756464,252.8549939,441.9800526
2005,371.5138742,210.5564965,347.7422365,684.0073379,194.6906156,557.6659302,243.0930877,349.8972182,299.4069352,493.8175074
2006,289.0226855,231.1993459,447.6103849,922.5897044,250.3104493,344.5936604,188.8247763,382.4425462,208.3485026,285.7912876
2007,486.8122519,269.441379,301.7693824,936.4094532,266.0906308,651.6170736,274.9158991,320.3299252,375.4896886,552.5107626
2008,428.6818309,127.3716559,343.7912788,766.203778,222.318277,579.3072704,249.9305965,346.6867014,363.0772577,301.2535678
2009,407.1159984,297.3955116,349.3916843,791.704128,211.2232022,476.9049805,260.4584189,355.138674,304.0078945,313.4324686
