year,Kansas,North.Dakota,Idaho,Washington,Montana,Oklahoma,South.Dakota,Minnesota,Nebraska,Texas
1966,0.241853071,0,0.030810039,0.048163757,0,1.658343737,0.011041184,0,0.046237429,1.424194785
1967,0.102191439,0,0,0,0,0.592176446,0,0,0,6.676878834
1968,0,0,0,0,0,0,0,0,0,1.624539877
1969,0,0.107897153,0,0,0.016649093,0.041198502,0.293695484,0,0.023118715,1.345053681
1970,0.499602589,0,0,0,0,0.876404494,0,0,0.093630794,2.054677914
1971,0,0,0,0,0,0.750034679,0,0,0,4.692446319
1972,0.07948223,0,0,0.21577363,0,1.270772645,0,0,0,2.833550614
1973,0.086294993,0,0.00999796,0.120409392,0,0.797197947,0.011041184,0,0,3.669785276
1974,0.60974225,0,0,0,0,2.530864198,0,0,0,6.760736197
1975,0,0,0,0,0,0,0,0,0,1.852415644
1976,0,0,0,0,0,0,0,0,0,0.261809816
1977,0.011354604,0.107897153,0,0,0.009989456,0.587876266,0.019874131,0,0,1.83696319
1978,0,0,0,0,0,0.181162436,0,0,0,4.944861963
1979,0,0,0,0.087417219,0,0.013316687,0,0,0,1.436119632
1980,0,1.39382461,0,0,0.142072257,0.073103066,0.229656619,0.134452984,0.023118715,2.277914111
1981,0.358805496,0,0,0,0,0.223193231,0,0,0.012715293,1.656058283
1982,0,0,0,0,0,0.154529061,0,0,0,1.455253067
1983,0,0,0.033870639,0.705839856,5.55E-05,0.024968789,0,0,0,2.574194785
1984,0,0.037878788,0,0,0.114878739,0.689693439,0,0,0,8.494785277
1985,0.249801294,0.002295684,0,0.135580975,0,0.981550839,0.26278017,0,0.057796786,4.701418712
1986,0,0,0.020403999,0.180614088,0,0.381328894,0,0,0,2.927684048
1987,0.208924719,0.026400367,0.010202,0.003130644,0,0.964072687,0.029811196,0,0.023118715,1.269555215
1988,0.204382877,0.23197888,0,0,0.170930684,0.386045221,0.033013139,0.283423475,0.023118715,2.924654908
1989,1.511297831,0,0,0,0,1.886114579,0,0,0.430701653,9.675076687
1990,0,0,0,0,0,0.219170481,0,0,0,4.376763804
1991,0.011354604,0,0,0,0,0.550561798,0,0,0,6.061081288
1992,0.011354604,0.284779614,0,0.154605659,0.063266552,0.013871549,0.063928453,0,0,0.717101183
1993,0,0,0,0.149187237,0,0,0,0,0,2.621395705
1994,0.447371409,0,0,0,0,0.374115689,0,0,0.082071437,1.900268405
1995,0,0,0,0.024081878,0,0,0,0,0,4.693289877
1996,0.615419552,0,0,0,0,4.036620891,0,0,0.011559357,12.53006135
1997,0.011354604,0,0,0,0,0.214870301,0,0,0,1.367714724
1998,2.373339389,0,0,0,0,4.665140796,0,0,0.090856548,13.05901074
1999,0.022709209,0,0,0,0,0.233874324,0,0,0,4.063535276
2000,2.225161803,0,0,0,0,2.868775142,0,0,0.379262513,11.10655675
2001,0.23844669,0,0.050805958,0.339193257,0.033298185,0.215286447,0.045268853,0,0.046237429,4.435161043
2002,0.255478597,0,0,0,0,0.669163546,0,0,0.060108658,6.6101227
2003,0.116952424,0,0.010202,0,0,1.055208767,0,0,0,7.267561349
2004,0.881117293,0,0,0,0,2.271604938,0,0,0,3.043174846
2005,0.227092086,0,0,0,0,0.856984325,0,0,0.034678072,3.366794478
2006,1.688429658,0,0.020812079,0.292594822,0.005549698,6.393952005,0.218615436,0,1.009363079,13.11733129
2007,0.045418417,0,0,0,0,0.210153974,0,0,0,0.908013803
2008,0.024980129,0,0,0.051294401,0,1.180052712,0,0,0,8.280904908
2009,0,0,0.049683738,0.209391933,0.045008047,0.055070051,0.033123551,0,0,5.942446332
2010,0,0,0,0,0,0.149396588,0,0,0,4.847699387
2011,0.707391847,0,0,0,0,3.188930503,0,0,0.011559357,15.275
2012,2.158510276,0,0,0,0,3.510750451,0.003091531,0,0.566639695,8.31744632
