year,Argentina_tmin,India_spi,China_cum_prec,USA_cum_prec,USA_t34,Australia,Australia_tmax,EU,EU_t34,RussUkraine_cum_prec,RussUkraine_tmean
1967,7.766806295,-0.39489045,356.9450561,284.8988447,0.406271531,261.6075008,20.13472016,185.5062338,0.053149642,184.4801642,18.93226111
1968,8.155827373,0.368157273,476.4457126,309.9221464,0.137238669,192.0048866,21.43589078,144.1566688,0.001063718,136.5901298,18.3647089
1969,7.919950187,-0.230490986,392.8154576,346.068581,0.159437302,247.8332118,19.73023241,117.3239344,0.0070416,178.8927557,17.57916562
1970,7.078572043,0.157214877,540.5090252,330.8663739,0.329083925,297.6310515,20.35816369,147.9890134,0.021214075,214.0488838,18.12196565
1971,7.752359053,0.55465647,549.4095671,304.3630115,0.457055151,229.4362165,20.37578618,138.4217057,0.028883973,164.1840879,18.40019415
1972,8.316935853,0.550855375,596.6874714,378.3476832,0.223264702,214.4057268,20.38585487,118.141766,0,153.7454062,20.32153947
1973,7.253809516,-0.522393579,438.475181,373.638114,0.332263027,190.3254588,21.79460187,125.8440753,0.093640123,197.642752,17.79323065
1974,7.436688989,0.572162301,514.894656,377.6467484,0.925372451,352.5586532,21.07555811,127.1553996,0.032763025,188.7043046,17.55881635
1975,7.949627142,-0.445216141,493.6234323,380.0095224,0.134913109,326.811856,19.95104378,160.4868279,0.134218301,154.862181,19.85120136
1976,7.441853016,0.604247406,510.7541458,314.3498985,0.016807021,297.7323873,21.10013311,120.4118199,0.210490254,174.5857119,16.79143891
1977,8.410306125,0.380266554,469.8404402,290.4992377,0.210653469,260.93572,20.12562305,148.4466961,0,214.876706,18.3314232
1978,8.299741321,0.308215006,462.4814981,349.2497864,0.248353395,201.6436863,21.42558693,149.047729,0,220.5739238,16.51182564
1979,7.872644678,0.541400193,403.4878863,307.9610356,0.10968449,368.4841502,19.62860987,140.6155034,0.016812162,140.9320881,19.17448713
1980,8.181670631,-0.581913104,541.0546808,299.8917099,0.505916534,259.3449932,20.99211533,190.8852108,0.001777418,230.9343907,17.30766563
1981,8.24333273,0.50871826,524.2588604,292.2966664,0.210182721,192.2649777,22.15320548,140.7362045,0.030749511,173.8268696,19.44123303
1982,8.660552365,0.141592533,422.372483,392.9275456,0.08741989,307.6089999,20.64239472,179.6210624,0.250862599,190.5886401,17.57614535
1983,7.432234229,-0.128562496,533.3665081,378.8677412,0.167717863,100.710102,21.99873117,190.8701299,0.940881686,192.7587176,18.35939294
1984,7.430393219,0.161122904,491.4102795,366.226211,0.523284375,330.651572,20.56799486,118.2374461,0.104698754,169.7377533,18.29234465
1985,8.585366241,-0.004253103,611.4732073,378.9758818,0.517457847,266.3811035,20.56326917,159.0083467,0.032179236,193.6081072,18.4145466
1986,8.533443206,0.074986757,459.8685903,371.2321476,0.243422808,292.8851945,20.55393893,146.4230783,0.083020203,131.5915033,18.6703067
1987,7.891186467,-0.239092128,434.081601,379.0979707,0.22391551,288.2479028,20.44418012,164.8126756,0.131878388,189.6670377,18.12270582
1988,6.950514759,-0.804928996,497.3858208,268.9076173,0.373562194,230.0999112,21.24216823,132.4155501,0.050286279,218.6418409,19.1927898
1989,8.286010047,0.522704859,409.0997669,284.7197505,1.042895155,251.6912262,21.95864522,113.0606793,0.236017654,199.3227443,18.7513593
1990,8.158166708,0.002163111,485.1167215,346.0746244,0.348154046,238.7407252,20.57255814,131.7305864,1.080132333,208.5064729,17.3668852
1991,8.349287621,0.667375369,554.8107511,336.6541753,0.502720723,231.3264991,21.40946166,148.9103258,0.468530463,192.6979311,18.73783233
1992,7.988989272,-0.198860456,519.316935,324.6685315,0.144958564,189.4802176,22.36198113,142.6900337,0.344742911,183.0204115,17.99184305
1993,7.98781682,-0.628177085,421.2225802,399.8489683,0.294288305,268.002354,20.53482031,163.8769263,0.067375412,199.0707026,17.59289084
1994,9.414408128,-0.233001928,464.7561154,283.0049652,0.319816227,284.6343581,21.37578203,167.3453648,1.310824766,192.1805372,17.43493593
1995,7.601920355,0.462287016,559.083928,459.7809781,0.460721568,110.9875955,22.28676106,157.155401,0.365928743,197.7910762,19.13361441
1996,7.880352544,0.012529783,501.4811758,305.9211626,1.781077836,265.4953716,21.44145007,134.870733,0.0031361,160.1991331,19.25031767
1997,8.944598252,0.14780519,537.00192,380.5253651,0.161143307,297.7380169,21.25378276,169.2546106,0.11149563,222.6388673,18.45145436
1998,8.484787253,-0.128198252,326.4465887,358.9162313,2.160480608,222.2498326,21.44777166,174.7576147,0.397722714,198.3440861,19.37643637
1999,8.240634659,0.155173005,538.7009673,482.7446215,0.368536359,348.6694663,20.85586694,128.3606695,0.156693936,147.8811099,19.01808747
2000,8.031763936,0.170616553,476.7966195,302.8541356,1.328366974,280.8392358,21.68464772,183.0145077,0.079600405,200.1657516,18.30914953
2001,9.369131424,-0.238585315,510.8054868,397.9280255,0.46866544,286.4951919,21.4094655,186.1481029,0.231693507,255.1176257,19.0872403
2002,8.825804785,-0.371448559,455.0206866,279.6529063,0.611057679,239.4934226,21.3408886,112.6590033,0.038368619,183.005358,18.99650131
2003,8.238541119,-0.738057256,424.5255784,334.1290644,0.827690069,108.8112179,23.14251284,193.4712909,2.486276356,143.4028879,18.73159878
2004,8.12831201,0.162713753,698.9700611,324.4025218,0.609989119,228.9063374,21.45009166,142.4632122,0.190823105,201.9201354,18.40760314
2005,8.097488503,-0.547416903,597.6664735,345.6204881,0.374611515,232.3630751,21.52059233,110.7440474,0.230173342,220.1967819,19.13188058
2006,8.352292375,-0.339697333,606.0111515,303.8984386,1.731821041,290.586582,22.05933526,127.1648844,1.248766019,215.8632456,19.28588713
2007,6.908306455,-0.066060232,463.7301511,399.1564795,0.057243049,155.1140744,22.30924898,141.0476603,0.054041016,149.7934942,20.45097191
2008,8.046286242,-0.210284863,592.8965852,345.3406479,0.621138837,213.9058676,22.12831698,129.9260685,0.056080455,216.1076487,18.82309451
2009,7.672296376,0.405942496,532.8962933,359.5849875,0.437740427,217.4480317,21.53663413,130.5169734,0.428653843,178.7168268,18.92450849
2010,7.7674137,-0.95156131,520.3407226,403.4563922,0.406760532,204.0982833,22.26843356,201.7854881,0.516421437,184.9534935,21.68169991
